Averaged Steps Training	Averaged Return Training	Averaged Steps Validation	Averaged Return Validation	Cumulative Successes	Number of episodes	Sampling time (s)	Epsilon threshold	Gradient update	Updates target network	Average q-value evaluation
50.0	-50.0	100.0	-100.0	4	20	0.03076183795928955	0.8905121004594018	0	879	3.0972225666046143
50.0	-50.0	73.0	-71.8	6	40	0.015296697616577148	0.8806938782946533	0	1799	3.0972225666046143
50.0	-50.0	87.0	-86.4	8	60	0.010538117090861002	0.8711648241090627	0	2702	3.0972225666046143
50.0	-50.0	100.0	-100.0	10	80	0.007613059878349304	0.8615117364277338	0	3628	3.0972225666046143
50.0	-50.0	70.0	-68.2	14	100	0.005858166217803955	0.8526641236009668	0	4485	3.0972225666046143
28.0	-0.93	58.0	-56.6	19	120	0.0027390400568644206	0.844171036679341	0	5316	3.0972225666046143
50.0	-50.0	86.0	-85.2	22	140	0.004451261247907366	0.8347960298898642	0	6246	3.0972225666046143
50.0	-50.0	100.0	-100.0	23	160	0.004868361353874207	0.8250665134555927	965	6259	-5.876441955566406
14.0	-0.86	100.0	-100.0	26	180	0.0012721353107028538	0.8164246193305772	1842	6259	-4.039209365844727
50.0	-50.0	80.0	-79.8	30	200	0.004062546491622925	0.8083908223109603	2665	6259	-3.96409010887146
50.0	-50.0	100.0	-100.0	35	220	0.003566895831714977	0.7999067380145173	3545	6259	-2.940932035446167
50.0	-50.0	100.0	-100.0	37	240	0.003228880961736043	0.7914248808878789	4435	6259	-2.7485034465789795
50.0	-50.0	82.0	-81.6	38	260	0.003050579474522517	0.7825717948126717	5376	6259	-3.1492488384246826
8.0	-0.75	84.0	-83.6	43	280	0.00048798578126089915	0.774304112792113	6264	6259	-3.1492345333099365
50.0	-50.0	87.0	-86.2	43	300	0.0026335978507995607	0.7653066625999071	7244	6259	-2.4597384929656982
50.0	-50.0	84.0	-82.8	43	320	0.002448756992816925	0.7564209805290352	8224	6260	-6.527684211730957
50.0	-50.0	95.0	-94.6	45	340	0.002341712923610912	0.7482738419152346	9132	6260	-5.264890193939209
