Averaged Steps Traning	Averaged Return Training	Averaged Steps Validation	Averaged Return Validation	Cumulative Successes	Number of episodes	Sampling time (s)	Epsilon threshold	Gradient update	Updates target network	Average q-value evaluation
40.0	-3.23	51.0	-5.07	3	20	0.015934014320373537	0.8923106165534384	0	0	0.23310886323451996
40.0	-4.72	39.0	-3.12	4	40	0.008206051588058472	0.8840024579063851	0	0	0.23310886323451996
40.0	-1.99	49.0	-5.7	6	60	0.009218557675679525	0.8760240170949136	672	0	0.15376362204551697
40.0	-7.03	60.0	-10.94	6	80	0.007394316792488098	0.8678049407976393	1452	0	0.1576630026102066
40.0	-2.56	49.0	-7.05	7	100	0.005523250102996826	0.8599207063538962	2207	0	0.1516985446214676
40.0	-1.84	48.0	-5.72	9	120	0.004551591475804647	0.8522328075611012	2950	0	0.15841145813465118
40.0	-9.2	40.0	-2.85	11	140	0.003861887114388602	0.8448761763338316	3667	0	0.148114874958992
40.0	-5.59	60.0	-8.25	15	160	0.0035550475120544435	0.8376559237271377	4377	0	0.15487121045589447
40.0	-5.3	60.0	-8.39	17	180	0.0029324054718017577	0.8303061553128704	5107	0	0.1499577760696411
40.0	-2.66	55.0	-5.44	19	200	0.0027614080905914305	0.8229959811037821	5840	0	0.1643480509519577
40.0	-5.28	60.0	-7.89	19	220	0.0025543462146412244	0.8153045425805745	6620	0	0.15258964896202087
40.0	-8.36	49.0	-6.36	20	240	0.0023250828186670938	0.8080496232164743	7362	0	0.1520628184080124
