Training steps	Validation return	Validation steps	Validation return std	Validation steps std	Q-value evaluation	Q-network loss	Policy-network loss	Alpha loss	Alpha
11000	-0.2344471148522969	60.0	0.08657089053989746	0.0	5.4295573234558105	0.08292625	-6.5932074	-0.33504543	[0.90459937]
12000	-0.17260661113186865	60.0	0.07526190280471787	0.0	9.882803916931152	0.11078537	-10.969978	-0.67816365	[0.81851107]
13000	-0.33935422526665093	60.0	0.05012948061478839	0.0	13.592987060546875	0.15214342	-14.509586	-1.0136837	[0.74060535]
14000	-0.18506600437191434	60.0	0.06518509211256665	0.0	16.746057510375977	0.08968151	-17.662842	-1.3391658	[0.6701218]
15000	-0.12395933748851107	60.0	0.06732102724396856	0.0	19.276792526245117	0.06818806	-20.152325	-1.6709563	[0.6063701]
16000	-0.17390990405953405	60.0	0.09602677297041581	0.0	21.189306259155273	13.053181	-22.107622	-2.0148973	[0.5486765]
17000	-0.1995124840750993	60.0	0.07416770635375887	0.0	22.592397689819336	0.052138377	-23.359905	-2.3479867	[0.49645597]
18000	-0.15226379907523901	60.0	0.03512935813711401	0.0	23.64936637878418	0.0692815	-24.289198	-2.6547475	[0.4492413]
19000	-0.22057292841622553	60.0	0.07602200852026064	0.0	24.169538497924805	0.09517011	-24.521877	-3.0324812	[0.4065117]
20000	-0.1584793761839874	51.6	0.06833258646362944	16.799999999999997	24.610984802246094	0.06100651	-25.232254	-3.2921534	[0.36785147]
21000	-0.14702720441677392	60.0	0.027098320499168563	0.0	24.709802627563477	0.05119078	-25.00084	-3.6752217	[0.33290523]
22000	-0.15996785314382672	60.0	0.034220197783563396	0.0	24.5364990234375	0.08369756	-24.789875	-4.07807	[0.30125344]
23000	-0.18646846122426203	60.0	0.0529157019125173	0.0	24.202390670776367	16.572258	-24.66488	-4.282932	[0.272631]
24000	-0.19590553590669896	60.0	0.10639135461983963	0.0	23.620941162109375	0.087672256	-24.145096	-4.6904225	[0.2467456]
25000	-0.13845911008413023	60.0	0.02461017753926322	0.0	23.063650131225586	0.06837687	-23.399002	-4.960465	[0.22331485]
26000	0.04537251767562123	48.2	0.48470174641434055	23.599999999999998	22.193017959594727	0.12036958	-22.940914	-5.240055	[0.20215629]
27000	-0.14001016019826107	52.4	0.047543136903101836	15.200000000000001	21.325231552124023	0.05851917	-22.085968	-5.5210037	[0.1830362]
28000	-0.12304867673225472	60.0	0.024841927055397527	0.0	20.481367111206055	0.100812845	-20.977615	-5.9500923	[0.16574275]
29000	-0.15584704247082656	60.0	0.04620213982386596	0.0	19.499608993530273	0.06782835	-20.53763	-6.1963625	[0.15010089]
30000	-0.1599513188937287	60.0	0.03283701814101227	0.0	18.51437759399414	0.094608076	-19.300714	-6.3323574	[0.13597967]
31000	-0.1676187996838408	60.0	0.03247329263344003	0.0	17.621601104736328	0.039106287	-18.314327	-6.4745674	[0.12325499]
32000	-0.13891289979370042	60.0	0.021871135314898003	0.0	16.58293914794922	0.085739166	-17.813358	-6.576802	[0.11171962]
33000	-0.06099669033778721	40.2	0.1458569975929525	24.595934623429134	15.649165153503418	0.08196844	-16.52005	-6.815559	[0.10132276]
34000	-0.12335976357358694	49.8	0.09404399833034487	20.400000000000002	14.7806396484375	7.0913258	-15.890914	-6.697523	[0.09188175]
35000	-0.16585266400602178	60.0	0.030319773749901323	0.0	13.830748558044434	0.04807781	-15.069935	-7.6451263	[0.08333701]
36000	-0.12180477443035738	60.0	0.04460610608805078	0.0	12.960556030273438	0.05410186	-13.838364	-7.432395	[0.07564451]
37000	-0.16603388404126174	60.0	0.025304920953238184	0.0	12.061389923095703	0.097221926	-13.112377	-7.4787207	[0.0686224]
38000	-0.08518254472175564	49.8	0.08026072691613383	20.4	11.249184608459473	0.049811915	-11.827554	-7.004033	[0.06226137]
39000	-0.14976601253234514	60.0	0.06214724167527326	0.0	10.391504287719727	0.03857266	-11.690214	-8.140293	[0.05642206]
40000	-0.15341677476415175	60.0	0.026217807176541787	0.0	9.571718215942383	0.046630748	-10.405939	-7.468981	[0.05116689]
