Averaged Steps Traing	Averaged Return Training	Averaged Steps Validation	Averaged Return Validation	Cumulative Successes	Number of episodes	Sampling time (s)	Epsilon threshold	Gradient update	Updates target network	Average q-value evaluation
150.0	10.48	0.0	0.0	0	5	0.4624504566192627	0.8900754082088432	618	127	0.0840054303407669
150.0	9.68	0.0	0.0	0	10	0.2197580337524414	0.8802609338631949	1363	127	0.08031146973371506
150.0	9.61	0.0	0.0	0	15	0.14578439394632975	0.8705683768759159	2108	128	0.13724765181541443
150.0	9.57	0.0	0.0	0	20	0.12418310642242432	0.8609962227652573	2853	128	0.13759194314479828
150.0	9.5	0.0	0.0	0	25	0.11931628227233887	0.8515429758626646	3598	129	0.1876290887594223
150.0	10.74	0.0	0.0	0	30	0.09814236164093018	0.8422071590790766	4343	129	0.18838255107402802
150.0	9.62	0.0	0.0	0	35	0.08285211154392787	0.8329873136741268	5088	130	0.23443110287189484
150.0	9.57	6.0	5.5	0	40	0.06885315179824829	0.8238819990282129	5833	130	0.2333221286535263
134.0	0.15	0.0	0.0	1	45	0.0609475400712755	0.8150804551159377	6562	131	0.27637413144111633
150.0	12.11	0.0	0.0	1	50	0.07243389129638672	0.8061975830395615	7307	131	0.2755529582500458
150.0	11.03	0.0	0.0	1	55	0.06622702425176447	0.7974250557723054	8052	132	0.313067764043808
150.0	9.86	0.0	0.0	1	60	0.04200725555419922	0.7887615025889358	8797	132	0.31358733773231506
150.0	11.3	0.0	0.0	1	65	0.03977813353905311	0.7802055697916421	9542	133	0.3448438346385956
150.0	10.54	0.0	0.0	1	70	0.03559427601950509	0.7717559204985173	10287	133	0.3444315493106842
150.0	12.31	0.0	0.0	1	75	0.03533042589823405	0.7634112344346684	11032	134	0.37598559260368347
150.0	11.38	0.0	0.0	1	80	0.03349957168102265	0.7551702077259205	11777	134	0.3761219382286072
150.0	11.65	0.0	0.0	1	85	0.03321249625262092	0.747031552695084	12522	135	0.4047820568084717
150.0	10.96	0.0	0.0	1	90	0.029979838265313044	0.7389939976607519	13267	135	0.4012768864631653
150.0	10.2	0.0	0.0	2	95	0.035954708802072625	0.7317087152649123	13950	136	0.4275685250759125
150.0	10.41	9.0	5.65	2	100	0.031364104747772216	0.7238615035741377	14695	136	0.4292895793914795
150.0	8.92	51.0	9.04	3	105	0.03567203794206892	0.716645966498921	15388	137	0.45250335335731506
150.0	10.29	0.0	0.0	3	110	0.03463079062375155	0.708985867278428	16133	137	0.44981130957603455
150.0	11.65	0.0	0.0	3	115	0.02396245417387589	0.7014209233386888	16878	138	0.4726009964942932
150.0	10.05	0.0	0.0	3	120	0.02768000364303589	0.6939499526418216	17623	138	0.47071772813796997
150.0	8.58	17.0	6.45	3	125	0.02038213348388672	0.6865717878334551	18368	139	0.4861809313297272
150.0	11.54	0.0	0.0	3	130	0.02162902905390813	0.6792852760603274	19113	139	0.48771315813064575
150.0	11.19	0.0	0.0	3	135	0.020335128572252063	0.672089278790149	19858	140	0.501754879951477
128.0	0.15	0.0	0.0	4	140	0.015445620673043387	0.6651898699306716	20581	140	0.5071583986282349
150.0	8.45	0.0	0.0	4	145	0.01701093871017982	0.6581689686075556	21326	141	0.5167233943939209
150.0	9.68	0.0	0.0	4	150	0.017111275990804035	0.6512352823213882	22071	141	0.5179537534713745
150.0	9.99	0.0	0.0	4	155	0.0169847103857225	0.6443877276695803	22816	142	0.5307361483573914
150.0	9.29	0.0	0.0	4	160	0.01924409717321396	0.6376252347077862	23561	142	0.5278414487838745
150.0	11.21	0.0	0.0	4	165	0.02254144350687663	0.6309467467827223	24306	143	0.542847752571106
150.0	10.25	0.0	0.0	4	170	0.025048431228188908	0.6243512203670627	25051	143	0.5442036390304565
