Averaged Steps Traning	Averaged Return Training	Averaged Steps Validation	Averaged Return Validation	Cumulative Successes	Number of episodes	Sampling time (s)	Epsilon threshold	Gradient update	Average q-value evaluation
60.0	-1.76	60.0	-1.0	2	40	0.008730053901672363	0.8781572204666622	0	1.8215620517730713
60.0	-0.63	60.0	-0.83	6	80	0.008951345086097717	0.8577099458389689	1369	0.6515340805053711
60.0	-1.33	60.0	-1.19	12	120	0.00615192453066508	0.8389675865949162	3442	-0.018241694197058678
60.0	-1.27	53.0	-0.72	15	160	0.0040486246347427365	0.8192656430748934	5678	-0.1818893849849701
60.0	-1.48	47.0	-0.38	24	200	0.0032014024257659914	0.8015990594571561	7729	-0.3399048149585724
60.0	-0.93	36.0	0.16	27	240	0.0030804365873336793	0.7825046454758722	10005	-0.5015982389450073
60.0	-0.97	49.0	-0.49	35	280	0.002574648175920759	0.7657379635366697	12049	-0.6321085691452026
60.0	-1.04	48.0	-0.37	40	320	0.0021571144461631775	0.7477949127917828	14294	-0.7885556817054749
60.0	-0.81	49.0	-0.67	44	360	0.001796542935901218	0.7301429632531927	16560	-0.9529522061347961
60.0	-0.69	60.0	-1.06	48	400	0.0016050964593887329	0.7132322552193492	18786	-1.1092501878738403
60.0	-0.78	57.0	-0.83	51	440	0.0014136888764121316	0.6962463603988599	21081	-1.2632079124450684
60.0	-0.9	54.0	-0.68	58	480	0.0015897050499916077	0.6811664925555507	23166	-1.4052013158798218
60.0	-0.61	60.0	-1.21	60	520	0.0013568933193500226	0.6648036915694373	25490	-1.561732530593872
60.0	-0.85	60.0	-0.92	64	560	0.001278612869126456	0.6489382903600058	27803	-1.7169477939605713
60.0	-1.59	60.0	-1.05	69	600	0.001156688928604126	0.6343906513935841	29976	-1.8554846048355103
60.0	-0.76	53.0	-0.69	72	640	0.0011211443692445756	0.6196960745894914	32228	-2.001445770263672
60.0	-1.04	51.0	-0.71	76	680	0.0010023534297943116	0.6058710536647735	34399	-2.143551826477051
60.0	-1.3	45.0	-0.26	83	720	0.0009809659587012398	0.5927552988659927	36508	-2.281989097595215
60.0	-0.76	52.0	-0.77	87	760	0.0009623301656622636	0.5791664412693858	38750	-2.4172897338867188
60.0	-1.37	41.0	-0.3	91	800	0.0007934498786926269	0.5658604842099454	41002	-2.556549310684204
60.0	-1.35	48.0	-0.4	95	840	0.000758343083517892	0.5534090277795853	43161	-2.6997909545898438
23.0	0.04	52.0	-0.7	100	880	0.0003108108585531061	0.5409252643158702	45381	-2.8355276584625244
40.0	0.02	50.0	-0.65	103	920	0.0004601895809173584	0.5283150820562532	47683	-2.979635000228882
7.0	0.14	47.0	-0.49	109	960	0.00010474249720573425	0.5170603935603832	49786	-3.1100289821624756
60.0	-0.82	50.0	-0.7	117	1000	0.0006608042716979981	0.5055083860882449	52000	-3.2436835765838623
60.0	-0.51	26.0	0.41	125	1040	0.0006339345987026508	0.4947458592211374	54112	-3.3644325733184814
60.0	-1.26	50.0	-0.5	130	1080	0.0006646898057725694	0.48375058623808287	56325	-3.503192901611328
60.0	-0.86	50.0	-0.73	133	1120	0.0005694101963724409	0.4727217356615232	58603	-3.634242296218872
60.0	-1.74	60.0	-1.13	138	1160	0.0005396882007861959	0.46255506295495935	60754	-3.7586236000061035
60.0	-1.44	32.0	0.14	143	1200	0.0005689406394958496	0.4523064562854697	62978	-3.890557050704956
60.0	-1.35	60.0	-0.97	148	1240	0.0005151398720279817	0.4424650389810344	65167	-4.013267993927002
60.0	-0.95	60.0	-1.11	151	1280	0.0005851844325661659	0.4324264508754117	67459	-4.1437225341796875
60.0	-1.15	49.0	-0.57	155	1320	0.00048044287797176477	0.4228227166410935	69708	-4.269137859344482
60.0	-0.88	60.0	-1.14	164	1360	0.0005237269050934736	0.41411497488031823	71795	-4.384541988372803
60.0	-1.17	60.0	-1.16	173	1400	0.0005182840142931258	0.40548024668451477	73915	-4.496561050415039
60.0	-1.25	51.0	-0.77	180	1440	0.00047946125268936155	0.3967689027286252	76108	-4.617266654968262
60.0	-1.02	60.0	-0.99	184	1480	0.00046230135737238703	0.3880869179595104	78350	-4.736352443695068
60.0	-1.36	60.0	-1.13	188	1520	0.0004354423598239296	0.3796259648247087	80591	-4.853824138641357
60.0	-1.13	60.0	-1.25	193	1560	0.00041657793216216257	0.37153391118850054	82788	-4.966915130615234
60.0	-1.41	48.0	-0.4	199	1600	0.00043934375047683717	0.3637381032210672	84957	-5.07451868057251
60.0	-1.5	55.0	-0.75	203	1640	0.00045857487655267485	0.35575058344812066	87238	-5.196258068084717
60.0	-0.83	46.0	-0.4	205	1680	0.00040336066768282934	0.3477446826043568	89586	-5.311442852020264
60.0	-1.23	60.0	-1.12	216	1720	0.0003790848476942195	0.3410393762835465	91596	-5.410027980804443
