Averaged Steps Traning	Averaged Return Training	Averaged Steps Validation	Averaged Return Validation	Cumulative Successes	Number of episodes	Sampling time (s)	Epsilon threshold	Gradient update	Updates target network	Average q-value evaluation
87.0	-0.42	45.0	-18.86	11	20	0.04633861780166626	0.8789927001475167	0	1983	0.12682519853115082
7.0	-0.1	88.0	-28.43	25	40	0.001985436677932739	0.8628619967824653	0	3535	0.12682519853115082
69.0	-0.5	52.0	-20.99	37	60	0.013256490230560303	0.8430897154592276	0	5485	0.12682519853115082
54.0	-0.21	100.0	-32.53	49	80	0.01633848249912262	0.8250858903606394	974	6328	-0.19744278490543365
150.0	-51.96	100.0	-38.24	55	100	0.036672284603118895	0.8005913402152064	3523	6328	-0.21302936971187592
1.0	-0.01	62.0	-26.36	65	120	0.00013771653175354004	0.7804412835233775	5680	6328	-0.19697216153144836
50.0	-0.34	45.0	-12.4	77	140	0.008980652264186314	0.7629143945664221	7603	6329	-0.5811303853988647
150.0	-59.5	100.0	-46.05	89	160	0.022751885652542114	0.7474364158610599	9339	6329	-0.5800207257270813
150.0	-61.98	100.0	-27.95	99	180	0.020408707194858128	0.7276960268885198	11616	6329	-0.5684282183647156
150.0	-59.75	100.0	-43.21	111	200	0.018271151781082153	0.7090743492668191	13825	6329	-0.6014571189880371
90.0	-0.33	100.0	-41.78	121	220	0.009861242771148682	0.6927615717498977	15810	6330	-0.9407987594604492
27.0	-0.28	80.0	-24.44	133	240	0.0027736236651738485	0.6789009986530543	17534	6330	-0.9485718607902527
150.0	-61.42	100.0	-39.72	141	260	0.013993642880366398	0.6617042104898561	19732	6330	-0.9402527809143066
150.0	-61.18	100.0	-44.41	155	280	0.013366841418402536	0.6479525180143366	21531	6330	-0.9220059514045715
150.0	-61.18	81.0	-15.56	164	300	0.012371106147766113	0.6324022437596606	23619	6331	-1.3096210956573486
150.0	-45.51	81.0	-31.94	179	320	0.01140521615743637	0.6223847181555026	24987	6331	-1.3127514123916626
48.0	-0.21	80.0	-29.0	193	340	0.0021989885498495663	0.6115488949129816	26496	6331	-1.288572907447815
24.0	-0.2	66.0	-26.47	207	360	0.0015548672940995957	0.6000030642003508	28138	6331	-1.3192840814590454
108.0	-0.43	100.0	-30.97	222	380	0.00703694883145784	0.5890179374505865	29732	6331	-1.2953565120697021
72.0	-0.33	100.0	-29.37	237	400	0.00437752366065979	0.577658265368122	31416	6332	-1.655929446220398
150.0	-52.39	100.0	-21.9	251	420	0.008915372689565023	0.5674750696989753	32955	6332	-1.6393845081329346
6.0	-0.19	100.0	-28.99	265	440	0.00033906752412969415	0.5574059377914952	34507	6332	-1.6200250387191772
36.0	-0.12	100.0	-24.88	279	460	0.0017834088076715885	0.5482173110849091	35949	6332	-1.6353950500488281
62.0	-0.39	82.0	-26.42	292	480	0.0030925085147221884	0.5350909259173903	38065	6333	-1.9961384534835815
