Loss training	Loss validation
6.14828721268168e-08	6.329153734441206e-08
7.308388205728988e-08	6.299202226500711e-08
7.843354410397296e-08	7.402601909234363e-08
6.459093526700599e-08	6.771807647965034e-08
1.393842126162781e-07	3.608881513628148e-07
8.743507606823187e-08	7.964093384771331e-08
1.0477769762928801e-07	1.4324521657727018e-07
1.5183947255081875e-07	1.5671878372813808e-07
6.609914748878509e-08	6.439864108642723e-08
1.8817483748989616e-07	1.8116831768111297e-07
6.701034180878196e-07	8.820910579743213e-07
8.650116001263086e-08	1.0610461487203793e-07
2.582260947292525e-07	1.8499882514788624e-07
5.3337085859084254e-08	6.354562742671988e-08
6.18532354224044e-08	7.224723219678708e-08
1.3754618066741386e-07	1.343508699847007e-07
7.268999979714863e-08	7.012114622284571e-08
1.0531339711405963e-07	8.038141174893099e-08
2.559206677688053e-07	4.735989307391719e-07
1.1905493124686473e-07	7.220176456712579e-08
2.6864282176575216e-07	2.585065033144929e-07
3.1226943519868655e-07	2.6428699584357673e-07
3.4120836289730505e-07	3.5392164932090964e-07
4.2379349451948656e-07	2.686270477170183e-07
1.0577973625913728e-06	9.859202236839337e-07
2.0606437090009422e-07	3.2004930972107104e-07
2.786501909213257e-07	2.011108364285974e-07
1.0477241829676132e-07	6.787952600006975e-08
4.7471041852986673e-07	4.7343547748823767e-07
1.377996454721142e-07	2.2011417399880884e-07
2.317634653081768e-06	1.5386524410132552e-06
1.6256406354386854e-07	1.857984130992918e-07
7.439498972416914e-08	1.00383928725023e-07
2.3798139636710403e-07	4.115496778922534e-07
1.0319829470972763e-06	1.1364056717866333e-06
2.5981174189837475e-07	9.887389751384035e-07
1.4196578490555112e-07	1.3463166226301837e-07
9.43972793265857e-07	1.2892040786027792e-06
9.094211605997771e-08	1.1535291122299896e-07
2.2880055894347606e-07	2.426864114113414e-07
2.1318808762771368e-07	2.2901301122146833e-07
1.6746420783420035e-07	2.0947875611909694e-07
7.855524586375395e-08	1.2026627871364326e-07
8.997062650450971e-08	1.0598120070426376e-07
3.309447720312164e-07	4.3436710939204204e-07
1.638614435250929e-07	2.5349686438858043e-07
1.6749386304582004e-06	1.1920025144718238e-06
5.126690894030617e-07	5.522369406207872e-07
1.7882439351524226e-07	1.413727375165763e-07
2.7124605139761115e-07	2.5018712790370046e-07
1.487670147071185e-07	1.0259311977733887e-07
1.3704845969186863e-07	1.3202432569414668e-07
1.6846030348460772e-07	1.6919577205953829e-07
3.0778770110373443e-07	4.5279085725269397e-07
2.4573290602347697e-07	2.252143218584024e-07
2.63624087892822e-07	3.2440922836940445e-07
7.147166058985022e-08	7.316000960599922e-08
3.7919019746368576e-07	1.7856868339549692e-07
2.4231394490925595e-06	2.808192220982164e-06
1.9442884990894527e-07	1.276934966654153e-07
1.5928303298551327e-07	2.498624098734581e-07
1.462751981762267e-07	1.0589979382302772e-07
1.329496086555082e-07	1.210893145753289e-07
2.1036731823187438e-07	2.95385120807623e-07
7.214406139155471e-08	8.028987252828301e-08
9.903091324758861e-08	1.524463897339956e-07
1.5338125081143517e-07	1.8174070248733187e-07
8.148059293944243e-08	6.976046762474652e-08
2.5326011154902517e-07	2.589415828424535e-07
1.8879990193454432e-07	2.557048333073908e-07
6.149828095658449e-07	5.442535098154622e-07
9.249765753338579e-08	7.28602884692009e-08
2.0421023805283767e-07	1.037469203879482e-07
1.4073582121909567e-07	1.93310100371491e-07
1.0444377949170303e-06	1.3392163964454085e-06
1.4523809568345314e-06	1.5691915677962243e-06
1.6535190638933273e-07	1.46459456118464e-07
8.877317725364264e-08	9.851927273984984e-08
2.7099326871393714e-07	5.856480242982798e-07
7.973378046699509e-08	1.2990466302653658e-07
7.385434486195663e-08	8.593121947342297e-08
8.311305919050938e-07	8.355222576028609e-07
1.3701840373414598e-07	1.4487858379652607e-07
2.2392600840248633e-07	2.3070661825386196e-07
1.6503398114764423e-07	1.4451610752530542e-07
8.325500999717406e-08	9.911820342267674e-08
1.2444743902051414e-07	7.369312982064002e-08
9.330886996394838e-08	1.078409326282781e-07
8.89808902115874e-08	1.015347663724242e-07
4.3854043951796484e-07	5.99536178924609e-07
1.1639158969956043e-07	9.139095169530265e-08
1.6971247873698303e-07	1.0552280116371549e-07
1.6705196514976706e-07	3.175158838075731e-07
6.776757288662338e-08	7.570515236920983e-08
6.259066367420019e-07	6.873534630358336e-07
1.0755319124200469e-07	1.0793983307166855e-07
9.923094239638885e-07	9.53227527134004e-07
3.3708747082528134e-07	3.1259017418960866e-07
1.1264387467235792e-06	1.24148107261135e-06
4.847461241297424e-07	4.053892439515039e-07
1.95213459619481e-07	1.4992949104453146e-07
1.9796435424268566e-07	2.1463210941874422e-07
8.501613990574697e-08	8.715230137568142e-08
7.806863777659601e-07	8.058175353653496e-07
3.1289425805880455e-07	3.6384673762768216e-07
1.214703360119529e-07	1.2069472177245189e-07
1.6645279288241e-07	1.163569720574742e-07
2.3737268861623306e-07	2.833284895586985e-07
9.521080812646687e-08	8.5515168279926e-08
3.8270223967629136e-07	8.12483591516866e-08
2.1046065512564383e-07	1.8931697809421166e-07
7.335770391136975e-08	1.0791813309651843e-07
1.5053311130941438e-07	1.3728565306792007e-07
7.97559494003508e-07	5.219082481744408e-07
1.0179172704738448e-07	1.0326699850793375e-07
8.358144896192243e-07	1.0184116945310961e-06
1.26880223660919e-07	1.7498577165042661e-07
8.422442476785363e-08	6.487474024652329e-08
4.796289090336359e-07	5.530339421966346e-07
2.1305524455783598e-07	2.446898861308e-07
7.125013468112229e-08	8.026106002034794e-08
2.1258919957745093e-07	2.465631325776485e-07
1.470950223847467e-07	2.021984784050801e-07
9.817279078561114e-08	1.1742431382799623e-07
7.461140683062695e-08	8.751496949344073e-08
1.6665345015098865e-07	1.8598086626298027e-07
8.355776515145408e-08	1.3277730204208638e-07
1.0824763876371435e-06	1.054601739269856e-06
1.540558400847658e-07	9.461652439313184e-08
2.7132801960760844e-07	3.719351298059337e-07
1.5647114537387097e-07	1.8237908250284818e-07
1.422438629106182e-07	2.2371193608705653e-07
2.4631759742987924e-07	1.4617292265484139e-07
6.867863078241498e-08	7.751779662612535e-08
1.386799368674474e-07	1.1471947658492354e-07
7.137141722068918e-08	8.052738564856554e-08
1.5705033717949846e-07	1.839191838826082e-07
1.4372436396570265e-07	1.0280841422627418e-07
2.8254385142645333e-07	1.8893774722528178e-07
1.061896526266537e-07	1.8282969449501252e-07
2.809503598655283e-07	2.916558230481314e-07
9.475897400079702e-08	7.906661636525314e-08
3.284073386566888e-07	3.9340488910966087e-07
5.028181249144836e-07	6.23753180661879e-07
6.093266335938097e-08	6.793407436589405e-08
7.204347980405146e-07	7.700461424064997e-07
7.331891538342461e-07	8.175646826202865e-07
9.933068412237844e-08	8.17785803519655e-08
1.7611750990909059e-07	1.6530302104911243e-07
9.649372145759116e-08	1.849780488782926e-07
1.5084108895280224e-07	1.0524866667083188e-07
6.907394833888247e-08	8.608176926827582e-08
8.336658652297047e-08	9.604877249103083e-08
8.350851032901119e-08	6.382010298011664e-08
4.2745446648950747e-07	5.12934377638885e-07
8.018824360078725e-08	8.542536278355328e-08
7.535700063954209e-08	1.1408105393684309e-07
9.813038559514098e-08	1.568667897799969e-07
1.7957111708710727e-07	1.6845338279836142e-07
1.2823504391690221e-07	1.1556223000752652e-07
1.256073858257878e-07	1.9111260485260573e-07
2.8022827791573945e-07	3.7309257550077746e-07
6.363425342215123e-08	7.860206352461319e-08
1.1206552130715863e-07	1.0932981808764453e-07
3.710293299263867e-07	3.779642270274053e-07
7.990183803485706e-08	8.511101867725301e-08
5.778698550784611e-07	3.3259144061048573e-07
1.3620652339341177e-07	1.317725946137216e-07
1.0179473264315675e-07	9.1840590243919e-08
7.779642885452631e-08	7.463991380518564e-08
9.360992692108994e-08	6.473283065133728e-08
2.196759965045203e-07	2.0937632427830977e-07
1.4897702271809976e-07	1.0485543811000753e-07
8.756620673011639e-07	7.050794010865502e-07
