Training steps	Validation return	Validation steps	Validation return std	Validation steps std	Q-value evaluation	Q-network loss	Value-network loss	Policy-network loss	Alpha loss	Log Pi
11000	-0.3256906857518853	60.0	0.13411858594632992	0.0	0.07552033624689998	0.003690916184695031	0.0027897360691221283	-0.42475880972072455	-2.6703119988921915	-0.6706477158569575
12000	-0.3629273782308057	60.0	0.0979689238335561	0.0	-0.7368708138325374	0.0029873989180890714	0.007205540069459998	0.5025991734334971	-5.357652645532715	-0.6801113283074978
13000	-0.26933896037465743	52.6	0.05324539314736018	14.8	-1.983628976948582	0.01075063208232776	0.004150834412233232	1.8256347999782794	-7.371449032115821	-0.4736851287735131
14000	-0.2597378233534381	60.0	0.02966040516290798	0.0	-3.3481051224065363	0.005343701850210506	0.0074005916776728655	3.1626249075847097	-6.39880878216335	0.3432699747833253
15000	-0.2807008812056836	60.0	0.018818163764859567	0.0	-4.54973433321633	0.004156884294992386	0.0042702673064693485	4.410009973006778	-5.710186480115793	0.7552408993864212
16000	-0.26250981985944344	60.0	0.027618150418599566	0.0	-5.6955796801794545	0.00887865515770855	0.009800910859327123	5.462605813046181	0.08062986188583374	2.0156790843219334
17000	-0.22722610108216762	58.4	0.03308892038411463	3.1999999999999997	-6.625022147689808	0.006808272557439793	0.014994789428541409	5.75519722714799	2.4717829536387033	2.4549461818009677
18000	-0.28684880336806434	60.0	0.08139829629009991	0.0	-7.535663843714099	0.03804111414338644	0.009915218482641711	6.803992032641035	-1.1901092293960611	1.7799880527750118
19000	-0.2229874855889744	60.0	0.026673069416284206	0.0	-8.344520128794088	0.00754422380511578	0.00600059055104879	7.692731987052896	-1.5346825241860038	1.710362221528124
20000	-0.21559242586690405	60.0	0.019325136745837114	0.0	-9.09019893975285	0.016952886808846934	0.009291513704576381	8.512649015555372	-1.8500722523538302	1.6408863005026226
21000	-0.22091046858213845	50.4	0.06212204552450039	19.2	-9.649424693900857	0.02413106306424233	0.014649675716721107	8.2679651895322	-1.0950610471306093	1.786361077119747
22000	-0.2259809067718896	52.6	0.04973013511564061	14.8	-10.259940589514004	0.01588512575527711	0.01576742186852528	9.112662667801247	-0.11943156482684414	1.976362408162881
23000	-0.24183625652838087	60.0	0.03499822605740278	0.0	-10.731863104239476	0.020341606510518334	0.019620873439305603	9.574545253241803	1.144675458252462	2.226702263230106
24000	-0.24058224236568906	60.0	0.037232057695978864	0.0	-11.142574142621925	0.06458340003608795	0.026610447889490622	9.725989251928599	1.5053047463344682	2.3052744503048466
25000	-0.0025030316113523244	48.2	0.5032444127213921	23.599999999999994	-11.53177050436244	0.07395865826969163	0.04139297583764393	10.446952166341868	-1.8828482233270731	1.6197052602518953
26000	0.11049965924096943	36.8	0.4757042543151994	28.421118908304788	-11.83519988128892	0.04842085137246849	0.048687792125185425	10.111240987159245	0.017873894204939123	2.003646177186509
27000	-0.22903469212946276	56.2	0.026605302396768452	7.6000000000000005	-11.960341905167368	1.5330009023650981	0.051240131200423096	10.335290331216402	-0.20653348624505952	1.9579412946589794
28000	-0.17129096341233457	48.8	0.1427896143326884	22.400000000000002	-12.257854777880807	0.05342785153883611	0.049115366909571995	10.371204318116934	-0.39748203798881176	1.9179559836679414
29000	-0.2276539461097542	60.0	0.03288980107703423	0.0	-12.520289652536166	0.06684366722687511	0.031769286315445205	10.457643027019293	-0.7642168531463636	1.8419298227020837
30000	-0.22710168234546102	56.0	0.03281080273091147	8.0	-12.878209764424609	0.06605648773686512	0.026034610063731433	10.835133086801221	-0.5452095932314913	1.888140886819066
31000	-0.23308928042255558	52.2	0.04162268711798711	15.6	-13.130852880072238	0.052631507003619064	0.027841955524892572	10.402198258550346	0.09024847554884186	2.0186626267487098
32000	-0.2373421753107582	45.6	0.027391346263412154	13.836184445142381	-13.196026272145563	2.1469559266027867	0.047819171035762845	9.977307594375926	0.8670286340673822	2.181294771448754
33000	-0.18068122881042215	41.6	0.1030193207516095	23.09632005320328	-13.375907743034109	0.05317134497343595	0.06950449417119788	10.291788540057043	1.0658905697879182	2.223565177919934
34000	-0.187515646522645	39.8	0.03227837331162925	16.89260193102294	-13.531680689845206	0.034631811731908144	0.03032698917049277	10.771480078095365	-0.5257123972218954	1.8901093300959133
35000	-0.22328068640412285	58.0	0.03481805383440492	4.0	-13.56052114338405	0.0543091312049501	0.040649506971503775	10.455052858684983	-1.0267472350338254	1.7838998933627024
36000	0.02352998392330812	38.2	0.4889551075385628	22.03088740836374	-13.602019498608872	0.15495204818164066	0.11339958812714017	10.773534711520682	-0.6462763349714842	1.8630432678398154
37000	-0.2369367777695573	54.2	0.01693782896462469	11.6	-13.658656605254173	1.4966334237996675	0.03453718378837775	10.360697313049968	0.8509764629419474	2.1793159741843193
38000	-0.1951353104126607	44.4	0.03335765895789709	19.116485032557634	-13.68113202544254	0.07446376495634338	0.10289813513309559	10.058639827780421	-0.44084375172750867	1.9066505575046275
39000	-0.0003947106105725129	44.0	0.5029531787444292	22.009089031579656	-13.58635025207665	0.21645022606982783	0.05151757560928456	11.20844253730823	1.0191881685328446	2.216470984543852
40000	-0.2255914433560971	54.4	0.036113041250391144	6.858571279792899	-13.586023087361582	0.07748915303874471	0.039223468005564636	9.182556577039222	-1.314142125303352	1.717517237376331
41000	-0.18805733712479347	43.8	0.05572315661649245	20.556264252047356	-13.58298944955557	0.05831138871597603	0.03163899012338757	10.621148656199646	-0.09023141609745583	1.9805622609065665
42000	-0.21411646424833392	60.0	0.019461426404264688	0.0	-13.644171165548796	0.08385148865736392	0.08463271516460978	10.033304215309519	0.8146741841527225	2.1745777903824965
43000	-0.22980114859723066	57.0	0.020111584643018803	6.0	-13.530940532519153	2.6456062063544152	0.06482793853136877	10.019251417927169	-0.36430683285209386	1.9204107847083567
44000	-0.22133206815663634	47.8	0.012050943430457624	15.497096502248413	-13.54920130333283	0.06470944228552292	0.02125835221294578	9.680405282000814	-1.336531592111312	1.7098094193672957
45000	-0.19890502363038878	39.4	0.035750963982384754	17.453939383417143	-13.494648447235143	0.076934167081643	0.03706355966002447	9.964154080309179	1.7549201208248997	2.383987650203597
46000	0.046127823328825056	33.2	0.4812507809355371	24.766105870725823	-13.384458792060967	0.08303294687162033	0.028355828906433234	9.589668975092163	0.7723549174139013	2.170579392244391
47000	-0.1327923320008927	33.0	0.1722665434971803	20.346989949375804	-13.346698637796619	0.07390843668170766	0.035171579532682906	9.15014928863004	1.2064262289370142	2.266100791033698
48000	-0.19844555861012908	40.8	0.037154755790620046	17.010584939971935	-13.223837405143122	0.7465655693436428	0.04612493611157763	9.25246260755177	-2.2238734599031162	1.510900425895286
49000	-0.23301997383735537	42.6	0.04034171160331947	14.74584687293341	-13.036041640755949	1.5083428289350693	0.09061484051579295	9.228805356337688	0.9110804520826147	2.2031598597655915
50000	-0.22658654242252574	49.6	0.09627932842229554	20.8	-13.046037580023459	0.09235066496232583	0.037922082849248605	9.18670464406766	1.7405627805694779	2.38932848239254
51000	-0.1838633167127685	42.6	0.07712366884048044	21.978170988505845	-12.794168555201026	0.22712670111662203	0.06238456446796231	8.98727891777014	0.7235798458810475	2.1609704754210073
52000	-0.20172372062148555	51.8	0.013086041059071034	16.400000000000002	-12.821388304787252	0.06650936665066373	0.03465677397834706	8.853362925271846	-0.6222352725441211	1.8604268406483544
53000	-0.19788453721888266	50.4	0.06286436047098502	19.200000000000003	-12.67641388320062	0.3968213152277108	0.046965706813721336	9.423931513040676	0.401247734874145	2.090373274665936
54000	-0.21076036158067693	60.0	0.006263203241132506	0.0	-12.671881097830848	0.08984442907215431	0.04458131030881532	8.5860496457645	0.07220730453437407	2.0161603575497153
55000	-0.17957081655338242	49.2	0.09695988317720837	21.599999999999998	-12.642830647778036	0.6865993464050772	0.051593466110234014	9.21065543171167	0.054092639085620065	2.012028227431736
56000	-0.18052258917292094	36.0	0.09871193404491733	21.531372459738837	-12.618977920767668	0.08011347096559401	0.07576380855259446	9.289816499453845	1.3516940313841692	2.3016299636469566
57000	-0.1759497168027135	31.8	0.11374866650921531	20.08382433701311	-12.52497884412498	0.05982301786915472	0.042397355952130206	8.366804219956123	-1.0951039489000076	1.7596015287441895
58000	-0.21754382002027722	45.4	0.008996730451480006	13.499629624548964	-12.4993911775522	0.07829534171942258	0.05513969866920902	8.73910675822764	0.13592332875552887	2.029727831349595
59000	-0.24189931111510116	42.4	0.038763274923122544	16.378034070058593	-12.476593629305546	0.10423451765458899	0.14316618108243606	8.408399079758784	-0.030143468933909512	1.9932448507864797
60000	-0.2304852380471877	47.6	0.05334403603081013	15.200000000000001	-12.427802022966333	0.1561000036462207	0.08597175232284457	9.27631657116258	2.0754692621636064	2.4570079207839477
61000	-0.22097105686060595	52.6	0.037756942529251845	14.8	-12.36724471962821	1.185076143196678	0.04431036960315836	8.444284361137813	-2.0317337192923133	1.5509362805312568
62000	-0.16383982937137975	49.2	0.08749452150575301	21.6	-12.32233785662863	0.11015004591544664	0.15457373165030203	9.126551488399102	1.253840055420445	2.2781471679906518
63000	-0.21052079932620066	51.6	0.05109602156721631	16.799999999999997	-12.252803204238717	0.31280782832954446	0.05884995916856285	8.197430693375185	0.27679966198539196	2.0611362960129656
64000	-0.2031916162565365	51.2	0.04235272429197729	17.6	-12.271420518308304	0.7268670332196633	0.05403773610333057	8.327938855049684	-0.1158742401133317	1.9740981090370515
65000	-0.19625278547105102	42.8	0.014654336627993519	15.171025014810304	-12.279338966833201	0.10404100810108495	0.04789636425094159	9.130893242639557	-0.461698341811884	1.897611163645221
66000	-0.15148743527900468	28.6	0.04449406919092372	17.315888657530692	-12.379251281044137	0.13712574039262543	0.06700682881213066	9.156201514000898	0.31930107283976755	2.0717791117818622
67000	-0.20147708548694113	41.4	0.06926857255350799	18.194504664870657	-12.152362373134766	0.13602289514960791	0.09304851776314342	8.894427229386132	-1.9160671496471984	1.572886155950911
68000	-0.24319257228757576	60.0	0.03934175073229523	0.0	-12.225831044124323	0.45860366595587554	0.11109166891063342	8.372515781269232	0.550798397480018	2.1244582757741943
69000	-0.23833338917034727	43.6	0.04761426320579456	14.880860190190619	-12.10679010217629	1.732008445039165	0.06010832582048804	8.742471758092769	-0.28687834958076225	1.935685834471288
70000	-0.22966403128659385	48.8	0.033132442226986025	14.620533505997653	-12.028074402675955	0.12551489449143083	0.03185029571937845	8.61182480529578	1.1733677314448854	2.2624217671114963
71000	-0.16991833200887405	33.0	0.0281647126462057	17.538529014715003	-11.977607867786482	0.15659230505511934	0.05472867939675905	7.766762264423324	-0.1937375824709543	1.956302003071451
72000	-0.21828242902942904	47.6	0.025084779027539514	11.84229707446997	-11.983618836261027	0.24826771034573308	0.060159618756617524	8.006008120561926	-0.4470766353180125	1.899578014331481
73000	-0.2179860976282853	54.2	0.04019768340834278	11.6	-11.901220724965432	0.06413509290649388	0.025542208676385604	8.845589442425954	0.5529586146892284	2.1243562305297923
74000	-0.16197902229275676	30.4	0.07430510674671222	17.3735431043872	-11.788754440890745	0.10030670791673157	0.02919166031287866	7.484126700977177	1.230093864409422	2.2767175777959863
75000	-0.2345042462648986	41.8	0.022229178856797614	12.12270596855339	-11.680801180515614	0.06885922690269809	0.04808412919804328	8.085289613176737	-0.1821037116845423	1.958980849291974
76000	-0.25156465824508817	54.6	0.03834429961094783	10.307278981380101	-11.702831167296583	0.1039126915619743	0.06004841077705178	8.5455542658975	-0.031165861435927478	1.9930065250083644
77000	-0.1898713124515338	38.2	0.014088792794117788	12.172099243762352	-11.556496014548449	0.09114662486015926	0.09219164888978935	6.961549669515254	1.5842340620175117	2.353631727894784
78000	-0.16030704150575706	30.4	0.13226516314256012	20.924626639440906	-11.536438855766047	0.19168252392788726	0.06576165511540447	8.089579251469358	0.5122634637945678	2.1150087531107506
79000	-0.1252454929387809	32.6	0.17057974941992257	23.22584767021432	-11.419064499599415	0.054442444634851865	0.04719233184965531	7.9818350601053325	-1.5942840210330589	1.6456518816066874
80000	-0.20904548244895554	48.8	0.015375983791995972	13.717142559585797	-11.333469839609567	0.14499350477139983	0.08651723166448513	8.816095931384565	0.5628375981676315	2.1257343783188998
81000	-0.1914421925387198	35.6	0.059059840263116066	20.025983121934363	-11.363545341972277	0.12384457412295373	0.058445910424246246	8.990666683232629	1.2160180075349951	2.273426119213349
82000	-0.22299517481144396	41.8	0.04850740068786471	7.413501197140255	-11.17103316967685	0.5909704970148224	0.052354457336596466	7.078118303250648	0.2693419617831607	2.061138872046157
83000	-0.2377855465918745	48.0	0.048423496774649855	12.116104984688768	-11.14883696334288	0.08641888676773066	0.034905077847962554	7.059803910204753	-0.5507395990274168	1.877157428561358
84000	-0.21417191768619062	50.0	0.03328423512601867	11.47170431975999	-11.13201928275068	1.1264588638121076	0.029169290914363374	8.379493927587106	1.8102061919861243	2.407294494763342
85000	-0.10001039761697576	26.0	0.11475792141860257	19.76866206904251	-11.24735749221852	0.9449563928670299	0.06435275146928485	7.291507663263721	-1.0660631357232702	1.761433773121489
86000	-0.22299971877517555	42.4	0.07841477801025816	17.130090484291085	-11.179399526492674	0.31163489534111694	0.05545966252421827	8.289578810474778	-0.9698552098889501	1.7805138287663977
87000	-0.18275045281821378	35.4	0.055510346623988634	17.23484841824842	-11.104347112999344	0.429117077804246	0.06627907981309203	8.371261629871771	0.9073563966437254	2.2020459253449367
88000	-0.2061704661949766	36.2	0.028967324165633652	13.059862173851606	-11.179102392071774	0.0617357667484624	0.05930260625102818	6.586122600233955	-0.12518269312374347	1.9721248051858171
89000	-0.14211462298656066	23.8	0.12202878699396749	19.548913013259845	-11.206916476868896	0.08556562154667591	0.08743456656513399	8.357462281971026	1.2987685571753524	2.2916151631783643
90000	-0.2272644920142272	44.0	0.026288373010026986	8.508818954473059	-11.106466114439383	0.11367444180224223	0.04574945731393419	7.998973776245703	0.9551983740818752	2.212898151825681
91000	-0.17613125659870138	31.0	0.053034126890984405	16.419500601419035	-11.071657628071463	0.09860283800375154	0.06855226622664638	7.094622006933982	-0.2123904041881171	1.9526261795143807
92000	-0.21331556723654232	51.4	0.02417953106647567	8.890444308357148	-11.061499726463943	0.37469403465605017	0.037174361572480996	6.897176285135002	0.6219580713929184	2.138382870270104
93000	-0.1557385541900258	30.2	0.054076445469125434	18.18130908378162	-11.02299658129114	1.440186317400931	0.03543184477505708	7.571606302230619	-1.3790308986675397	1.6915213733134637
94000	-0.15418197557028268	37.8	0.10478186745414211	22.21170862405682	-10.980245342619039	0.11740013140473428	0.08012732297620216	7.785171508378911	0.42122119657298746	2.0944898356636656
95000	-0.24338080104021526	47.6	0.059314577701676356	11.876026271442818	-11.109494267062068	1.5583289912206144	0.053212004116549555	7.945815526636922	-1.2719329196174227	1.7180828474317433
96000	-0.18962314163961486	43.2	0.021506311014865755	14.661514246489002	-11.17032803360739	1.4487416434792215	0.04302860740404538	8.144227077688452	1.3838065613386485	2.3070659217639937
97000	-0.21197610616208157	49.4	0.016797793997537034	14.880860190190619	-11.133205738907598	0.5834972480564482	0.036612851061886026	8.327893578600378	-1.1745744261074282	1.735838837069835
98000	-0.19258730877032565	37.0	0.08649758549958558	20.396078054371138	-11.140236799840853	0.07904257472042328	0.07687255567416508	6.95408165127941	0.019227465507193287	2.004312633201829
99000	-0.2153488473144412	48.4	0.024300751167487363	10.9288608738514	-11.136299877801639	0.05997297428121255	0.03317581956633146	7.274192426349846	-1.0479289527053568	1.7659708122968165
100000	-0.21874958547962559	48.2	0.01904462824982276	11.391224692718513	-10.995960007965385	0.582226321071441	0.06955312235717051	6.782717729429295	-0.10679361918723806	1.9761142540045988
101000	0.005583472216143653	47.4	0.4986854982496818	23.251666606933796	-11.005760225258278	1.8022125912212723	0.03255045218921074	7.252126743005182	-1.2898818987811005	1.7126876632834631
102000	-0.23552594311969227	50.6	0.04804353350103674	11.516944039110376	-11.012801415687873	0.11411412863135334	0.052039743565186244	6.970286445005396	0.1710050868904522	2.038003518429747
103000	-0.22569031787790403	60.0	0.017721191233306177	0.0	-11.056296397505536	0.2300611815493674	0.0638985185795388	7.380206865560339	0.3018038093635652	2.067529375922237
