Step	Validation return	Validation steps	Validation return std	Validation steps std	Q-value evaluation	Q-network loss	Value-network loss	Policy-network loss	Alpha loss	Log Pi
11000	-0.4451534766877517	60.0	0.20768827859115202	0.0	-0.9999998294083734	3.994116919923878	3.118893395409522	0.761086638842956	-2.657643058940005	-0.6515721952660467
12000	-0.6140227186171372	60.0	0.2777063382121778	0.0	-1.1321912361250686e-07	7.176259507479336	0.011384301080813463	-1.097589977777547	-5.455100532674498	-0.7238093587132741
13000	-0.5873537934211092	60.0	0.28635118913084834	0.0	-1.8008471219244094e-07	7.27544160083647	0.0012422638962376904	-1.0304206779851262	-7.850800182771156	-0.6138243278727942
14000	-0.6827493689208624	60.0	0.3932488746641032	0.0	-2.57040103435191e-07	7.02156841509658	0.00016755864828185574	-1.0114847371695754	-10.529275652871783	-0.6299609610537626
15000	-0.7827143332752178	60.0	0.28188416559574025	0.0	-4.240638408370412e-07	7.380414970121815	2.5818746269489495e-05	-1.0047132342620242	-13.528939709311238	-0.7034170480811432
16000	-0.7680905177759978	60.0	0.2651746263678451	0.0	-2.6257248770478193e-06	7.373291560080845	3.3606468546722574e-06	-1.0016608626056285	-16.065437316202267	-0.6756905544408405
17000	-0.3857427420316588	60.0	0.11785630058435803	0.0	-0.9999999912395954	1.0286350602771526	4.559085066590978e-07	0.9993796914308689	-18.795389747238907	-0.6835731384446815
18000	-0.7839087855654474	60.0	0.16233040312538327	0.0	-0.9999999947107345	0.8598046121724605	5.5642244557408495e-08	0.9997918033413533	-21.001361342365325	-0.6238161290775879
19000	-0.47615624517520727	60.0	0.26645612963139725	0.0	-0.999999996788352	0.8484609117569346	8.079237943875e-09	0.9999162751359341	-24.143827511927412	-0.6815688707260052
20000	-0.7636830018841322	60.0	0.2105000855379586	0.0	-0.9999999980468387	0.9160410394660836	7.773069689384713e-10	0.9999715096128936	-26.312635236307383	-0.6303516843007866
21000	-0.5384549211955127	60.0	0.21388764480820682	0.0	-0.9999999988073756	1.0373215584952158	5.580117684489018e-11	0.9999897404208566	-28.79541350813914	-0.6169655492158906
22000	-0.6598980412999804	60.0	0.24999851610382942	0.0	-0.9999999992683004	1.1270427514846701	4.9285970932590125e-12	0.9999958942874512	-32.06796106239943	-0.6714719334770386
23000	-0.5128817188376523	60.0	0.20226961932945398	0.0	-0.9999999995461817	0.8627445711789996	1.482972118952238e-11	0.9999985731747769	-34.25324015636967	-0.6341390138925639
24000	-0.6100281706635732	60.0	0.2846782699087756	0.0	-0.999999999716843	0.8474443758633019	2.067518170052585e-11	0.9999994636887937	-37.08609624524676	-0.6482353179114994
25000	-0.4498949614698657	60.0	0.23212403780363688	0.0	-0.9999999998205866	0.8510907288641183	2.2110987282927176e-11	0.9999998075075445	-39.49158429833362	-0.6321326882727873
26000	-0.5086668238156216	60.0	0.3331094836509852	0.0	-0.9999999998840621	0.9420230421182189	2.0751582944053034e-11	0.9999999256123142	-42.62879640552249	-0.6637437575506094
27000	-0.40037783142909317	60.0	0.17506876812452818	0.0	-0.9999999999231973	1.011215844252785	1.8170542730571432e-11	0.9999999770439418	-43.46923959765039	-0.5565101289049534
28000	-0.43697482358440976	60.0	0.07603121066042748	0.0	-0.999999999947505	0.9297808072451742	1.495724909251071e-11	0.9999999898850153	-47.994792736927096	-0.665890365120418
29000	-0.4880890187328261	60.0	0.2413805060697124	0.0	-0.9999999999628248	0.948926416298957	1.1771954606517707e-11	0.999999996487296	-49.916344645157835	-0.626704299056354
30000	-0.5404965386153469	60.0	0.38921836396041687	0.0	-0.9999999999726296	0.8152740457436731	8.92988821116717e-12	0.9999999986991495	-52.51980120044692	-0.6255703998365202
31000	-0.7380594754196854	60.0	0.40379552475278574	0.0	-0.9999999999788592	0.8840524349210088	6.602986555556969e-12	0.9999999994815116	-55.96604500240855	-0.6645969519229823
32000	-0.4743878749435865	60.0	0.17020767198692982	0.0	-0.9999999999829079	0.8552051719472951	4.810033325059421e-12	0.999999999799559	-58.54786927465622	-0.6608900636150257
33000	-0.604753787585787	60.0	0.2180445281101995	0.0	-0.9999999999855729	0.7932218088874878	3.4845918427592964e-12	0.9999999999192519	-60.39515571836965	-0.6255007546856717
