Averaged Steps Traning	Averaged Return Training	Averaged Steps Validation	Averaged Return Validation	Cumulative Successes	Number of episodes	Sampling time (s)	Epsilon threshold	Gradient update	Updates target network	Average q-value evaluation
30.0	-7.14	71.0	-36.73	2	20	0.03228280544281006	0.8940496749876075	0	543	0.18030226230621338
30.0	-8.35	100.0	-48.17	4	40	0.016731232404708862	0.887858179665865	0	1112	0.18030226230621338
30.0	-25.97	52.0	-23.44	5	60	0.010911138852437337	0.8817432916187722	0	1678	0.18030226230621338
30.0	-19.93	100.0	-67.68	8	80	0.008711898326873779	0.8759723922071398	0	2215	0.18030226230621338
30.0	-17.5	80.0	-38.02	9	100	0.007561674118041992	0.8699135021278159	0	2784	0.18030226230621338
30.0	-20.96	81.0	-39.1	9	120	0.005351910988489787	0.8637871533868687	0	3364	0.18030226230621338
30.0	-23.71	53.0	-26.34	11	140	0.004908066136496408	0.8581812474236393	0	3897	0.18030226230621338
30.0	-9.84	81.0	-45.01	12	160	0.004208080470561981	0.8523431221560953	0	4457	0.18030226230621338
30.0	-5.39	89.0	-48.8	15	180	0.0036563303735521104	0.847025241942948	0	4969	0.18030226230621338
30.0	-26.79	91.0	-48.72	18	200	0.0033626031875610353	0.8413666198738293	0	5519	0.18030226230621338
23.0	-0.1	65.0	-26.74	21	220	0.0023629957979375664	0.8360035818535136	0	6043	0.18030226230621338
30.0	-24.44	80.0	-52.72	22	240	0.0030332754055658975	0.8301696136834318	444	6175	-0.4154992699623108
23.0	-0.15	80.0	-48.57	28	260	0.0025142550468444822	0.8257546903195974	878	6175	-0.4446147382259369
30.0	-26.11	81.0	-39.28	32	280	0.003005474805831909	0.8210080769774231	1349	6175	-0.43487223982810974
6.0	-0.16	100.0	-76.1	33	300	0.0005427002906799316	0.8154767554758794	1905	6175	-0.4428200423717499
30.0	-27.57	82.0	-53.22	34	320	0.0023339733481407164	0.8100231166665878	2457	6175	-0.4432312548160553
30.0	-16.43	80.0	-63.27	37	340	0.002557702625499052	0.8048064429927257	2988	6175	-0.4621516764163971
30.0	-13.41	81.0	-49.99	40	360	0.002254080772399902	0.79956935589908	3525	6175	-0.4644625186920166
