Averaged Steps Training	Averaged Return Training	Averaged Steps Validation	Averaged Return Validation	Cumulative Successes	Number of episodes	Sampling time (s)	Epsilon threshold	Gradient update	Updates target network	Average q-value evaluation
50.0	-50.0	54.0	-52.2	2	20	0.031508028507232666	0.8895880454723148	0	967	1.640424370765686
1.0	1.0	81.0	-80.4	7	40	0.00045680999755859375	0.8813586992902301	0	1735	1.640424370765686
50.0	-50.0	59.0	-57.4	11	60	0.010211292902628582	0.8719555757404438	0	2625	1.640424370765686
4.0	-0.5	66.0	-65.2	13	80	0.0006770521402359008	0.8625470737789847	0	3526	1.640424370765686
50.0	-50.0	78.0	-77.0	19	100	0.006166524887084961	0.8539594635874637	0	4356	1.640424370765686
1.0	1.0	100.0	-100.0	24	120	0.0001668691635131836	0.8455918869139827	0	5173	1.640424370765686
50.0	-50.0	69.0	-68.2	29	140	0.004424428939819336	0.8376460780896265	0	5956	1.640424370765686
50.0	-50.0	81.0	-80.4	33	160	0.004902930557727813	0.8290684020179335	560	6252	-8.239728927612305
50.0	-50.0	100.0	-100.0	36	180	0.00464723375108507	0.8204204073962285	1433	6252	-5.6471848487854
50.0	-50.0	81.0	-80.6	41	200	0.004188002347946167	0.8123161384354579	2259	6252	-5.000723838806152
34.0	-0.94	61.0	-60.0	47	220	0.002476620674133301	0.8049385456788973	3017	6252	-4.240433692932129
50.0	-50.0	49.0	-47.6	50	240	0.003222521146138509	0.7964370969654477	3903	6252	-4.248897075653076
2.0	0.0	82.0	-82.0	58	260	0.00015030365723830004	0.789370278922119	4644	6252	-4.182805061340332
19.0	-0.89	80.0	-79.8	64	280	0.0011989499841417585	0.7821598390515095	5408	6252	-4.130410194396973
50.0	-50.0	86.0	-86.0	68	300	0.0026540207862854005	0.7744218217740374	6238	6252	-3.7568280696868896
50.0	-50.0	100.0	-100.0	72	320	0.002711251378059387	0.7667835050617792	7066	6252	-3.6942875385284424
50.0	-50.0	82.0	-81.4	78	340	0.002409822099349078	0.7591991314321641	7897	6253	-10.418787956237793
50.0	-50.0	100.0	-100.0	81	360	0.0022407074769337973	0.7511426416879118	8791	6253	-8.681066513061523
50.0	-50.0	83.0	-83.0	86	380	0.002215155802275005	0.7439926359894949	9591	6253	-7.969564914703369
1.0	1.0	100.0	-100.0	92	400	4.9304366111755374e-05	0.7369842385198092	10383	6253	-7.734847545623779
50.0	-50.0	81.0	-80.2	97	420	0.001957675956544422	0.730097621900371	11169	6253	-8.574992179870605
50.0	-50.0	100.0	-100.0	100	440	0.0018222066489132968	0.7224641822644979	12052	6253	-7.505176544189453
50.0	-50.0	41.0	-39.2	106	460	0.0017892267393029254	0.7157314423378065	12837	6253	-7.351384162902832
13.0	-0.85	100.0	-100.0	109	480	0.00044888009627660114	0.7079548746960576	13757	6253	-7.4848246574401855
50.0	-50.0	100.0	-100.0	113	500	0.0017197322845458984	0.7006675588480301	14628	6253	-7.407452583312988
50.0	-50.0	71.0	-70.2	119	520	0.0015257216416872464	0.6940081295080364	15431	6254	-12.476806640625
50.0	-50.0	80.0	-80.0	122	540	0.001421287766209355	0.6871221207265966	16271	6254	-11.33470344543457
50.0	-50.0	100.0	-100.0	127	560	0.0015076556376048497	0.6804594564206642	17092	6254	-11.058180809020996
50.0	-50.0	7.0	-4.6	134	580	0.0013018616314592034	0.674357954846081	17850	6254	-10.34270191192627
50.0	-50.0	65.0	-64.4	139	600	0.0013638635476430256	0.6673501391942965	18733	6254	-10.67236328125
50.0	-50.0	69.0	-68.0	139	620	0.0012368440628051757	0.6596812926000949	19713	6254	-11.038101196289062
50.0	-50.0	100.0	-100.0	143	640	0.0012564435601234436	0.653049238622785	20568	6254	-10.617829322814941
50.0	-50.0	85.0	-84.8	151	660	0.0011434410557602391	0.6470264095309036	21351	6254	-10.419100761413574
50.0	-50.0	100.0	-100.0	155	680	0.0012191572610069723	0.6399712751241878	22282	6254	-9.527220726013184
50.0	-50.0	100.0	-100.0	159	700	0.001166234016418457	0.6334369257509433	23153	6255	-14.579391479492188
50.0	-50.0	100.0	-100.0	167	720	0.0011416524648666382	0.6284842666630419	23815	6255	-14.145825386047363
