Step	Validation total_reward	Q network loss	Value network loss	Policy Loss	Alpha Loss	Log Pi
11000	-2.0441882231656647	0.095354035	2.6500378	-3.6988027	-0.3905139	-1.9013783
12000	-1.3937363091457724	2.6350427	1.3235592	-8.508972	-0.7576872	-1.7869266
13000	-1.1015911126868716	0.049673103	2.112968	-15.60812	-1.2811562	-2.2707584
14000	-1.033046749514802	0.025545366	1.4499974	-20.970991	-1.706425	-2.2676604
15000	-0.4058131789634754	0.84474003	1.2691715	-25.081541	-2.103724	-2.211239
16000	-1.4418591584633094	0.20805949	0.6752189	-28.710678	-2.4427195	-2.0756426
17000	-1.01168050503587	0.22518778	0.7332083	-32.069794	-2.9931998	-2.278718
18000	-0.7401477442805577	0.0051873764	0.5643168	-34.731792	-3.2427034	-2.0570827
19000	-0.5975997383817867	0.021067724	0.3618247	-36.862007	-3.7111344	-2.1269348
20000	-0.25295466970430946	0.024080776	0.36997896	-38.618793	-4.312825	-2.3162596
21000	-1.307337500207222	0.02968356	0.2694134	-39.658264	-4.3340106	-1.9435523
22000	-1.1178813626263393	0.01606276	0.3895458	-40.69394	-4.920309	-2.1041465
23000	-0.7152761979231569	0.06490956	0.2262735	-41.217567	-5.260495	-2.050582
24000	-1.9880416075149747	0.0023524906	0.2302684	-41.75041	-5.950911	-2.2552485
25000	-0.9355369856156224	0.008858383	0.0967438	-41.834095	-5.981368	-1.9915199
26000	-1.3264444610395363	0.0013607271	0.12870002	-41.831093	-6.8484287	-2.2846415
27000	-0.7576994955412877	0.0030037458	0.07595361	-41.492035	-6.706174	-1.949051
28000	-0.20967609647077057	0.0018488104	0.063615344	-41.096375	-7.0054526	-1.8960489
29000	-1.3540588408940486	0.00453687	0.04639894	-40.50525	-7.7009535	-2.0575166
30000	-1.4694719237586729	0.0010252723	0.03303463	-39.953453	-7.6876416	-1.8479972
31000	-0.3548028540057545	0.0039085755	0.030610366	-39.14763	-8.298054	-1.9562482
32000	-1.8900956429502092	0.0034130404	0.041567195	-38.37241	-9.508864	-2.327602
33000	-1.1551107455609093	0.022471502	0.037869375	-37.47867	-9.4266205	-2.104277
34000	-0.2965274894549068	0.007831192	0.02424117	-36.554638	-9.580879	-1.9978924
35000	-1.8613415049299764	37.34666	0.016251188	-35.554634	-9.970458	-1.9936129
36000	-0.8513155006848611	34.38792	0.0130509995	-34.44308	-10.554647	-2.065095
37000	-0.26078184969964424	0.0029127751	0.009406924	-33.53152	-10.821414	-2.0129406
38000	-0.5452871638695591	0.0017959201	0.013680125	-32.35286	-11.514509	-2.1173909
39000	-1.4563204629895572	0.0050254976	0.009301398	-31.38511	-11.875958	-2.1001098
40000	-0.9885836369711272	0.04351828	0.0050092614	-30.206873	-10.998938	-1.6707698
41000	-0.5337613621658926	0.0012646515	0.005318337	-29.15286	-12.548549	-2.0535793
42000	-1.2823338563319473	0.005025414	0.00352682	-28.015478	-12.551718	-1.9279202
43000	-1.7655799203151223	0.0047800806	0.0047198134	-26.97913	-13.143553	-1.9888005
44000	-0.49806954808566545	0.0075118216	0.0026761792	-25.857935	-13.164795	-1.8779688
45000	-1.047201250270165	0.0053106043	0.004457281	-24.817759	-14.963357	-2.2821498
46000	-0.17772279726638715	0.0073470683	0.0037240058	-23.841717	-14.930089	-2.1543427
47000	-1.350789473967726	0.0021431856	0.001480456	-22.877789	-13.594437	-1.6813686
48000	-0.4867295559605578	0.0075194533	0.0014183606	-21.827744	-14.169074	-1.7367457
49000	-1.4236628680601067	0.01283728	0.0022475924	-20.90976	-15.378552	-1.9526542
50000	-1.3919036785006536	0.0046273586	0.0011028738	-19.97775	-14.596191	-1.658061
51000	-0.951461577396599	0.002091261	0.0021147074	-19.07204	-17.292189	-2.228615
52000	-1.0447416086349954	0.0025470264	0.00085255154	-18.28933	-15.866463	-1.787518
53000	-0.6887487025457907	0.0015058253	0.0011010069	-17.299221	-16.882809	-1.9359541
54000	-0.821647178154486	0.0030911262	0.0005761687	-16.434757	-16.966057	-1.8653978
55000	-0.5224598130346713	0.0018403251	0.00084359874	-15.684406	-19.056705	-2.245451
56000	-1.635613923862902	0.004152881	0.0009836116	-14.868894	-17.587845	-1.833595
57000	-0.837154622215967	0.0027256887	0.00068549433	-14.17424	-16.206152	-1.459404
58000	-1.2779323085566554	0.0065214373	0.00044782524	-13.442286	-17.387016	-1.6352394
59000	-0.5692995559055412	0.0024449504	0.00081973895	-12.750576	-19.039484	-1.90067
60000	-1.3800905297982116	0.0031094807	0.000502654	-12.112653	-15.17534	-1.0497733
61000	-1.3518465474828567	0.002219208	0.0008813813	-11.495035	-18.786842	-1.7017012
62000	-0.9855012449891029	0.006592607	0.00042291937	-10.8545685	-15.77491	-1.0499644
63000	-0.9043059414915375	0.003656537	0.00053549104	-10.343362	-19.89888	-1.7771938
64000	-1.7583867405799756	0.005760094	0.0003709921	-9.770429	-16.255733	-1.029275
65000	-0.3494061912346353	0.0020818636	0.0005529748	-9.21463	-15.643924	-0.8636308
66000	-1.0065369761553946	0.0023592692	0.0012432366	-8.712062	-16.917408	-1.042576
67000	-1.6991627982641637	0.0016430817	0.00040194625	-8.257036	-16.999506	-1.0059392
68000	-1.3982927858745888	0.0017861766	0.00057051895	-7.692199	-18.120874	-1.1505672
69000	-0.7953252740088437	0.0018033477	0.00023680301	-7.34047	-12.564562	-0.14886777
70000	-1.0604550230513006	0.0022077286	0.00025230323	-6.9065857	-15.817671	-0.66050917
71000	-0.8699557985332114	0.0012029938	0.00028143692	-6.4953585	-14.615023	-0.41951877
72000	-0.7962852426604519	0.0012940804	0.00040428713	-6.065914	-16.953209	-0.76324964
73000	-0.9410750420393205	0.0021221228	0.00054381555	-5.729943	-13.645454	-0.1896429
74000	-1.171632636151521	0.0012698191	0.0010959409	-5.4098625	-15.60829	-0.4660806
75000	-2.0179695077170416	0.0012500728	0.0006390924	-5.026491	-13.552038	-0.1090661
76000	-1.1413312884805582	0.0008236774	0.000511614	-4.7189627	-12.6147175	0.0665186
77000	-0.7861887081129362	0.0013427532	0.00029234577	-4.352349	-13.454671	-0.032043427
78000	-1.2592450079664697	0.0018872956	0.00024346872	-4.1732817	-15.281295	-0.27460504
79000	-1.6848212083994338	0.00130562	0.00028162752	-3.8499794	-15.129604	-0.22048096
80000	-0.2971276837389926	0.00044092778	0.00016681233	-3.5935302	-16.037056	-0.32126462
81000	-0.42483512246393235	0.0017258567	0.0006389015	-3.3346357	-9.536401	0.63830054
82000	-1.0490071046549552	0.0016483318	0.00032662318	-3.049583	-18.725403	-0.6364745
83000	-1.482018727079712	0.0011070587	0.00019365227	-2.8222177	-15.972864	-0.2177819
84000	-1.189643005928441	0.0019219692	0.0002779576	-2.6467748	-19.724478	-0.7009877
85000	-1.4908183934447012	0.003024925	0.00037448545	-2.4474335	-19.629942	-0.65300363
86000	-0.4697229506129862	0.001366673	0.00021529294	-2.2276149	-13.821313	0.15798484
87000	-1.3863089614291815	0.0006532648	0.00036189758	-1.9978993	-14.4612465	0.09870811
88000	-0.7310392217839244	0.00094263477	0.00013314046	-1.8373176	-15.848877	-0.056379855
89000	-0.3647763268831128	0.000653144	0.00015784656	-1.6273528	-17.27473	-0.21218726
90000	-1.0848950526757746	0.0009522446	0.00010735431	-1.4947667	-16.571085	-0.09475708
91000	-0.712943352959141	0.00063070934	0.00034124975	-1.3544114	-21.544132	-0.6892028
92000	-1.1928796658895697	0.00081399444	0.00022545438	-1.1715934	-13.767563	0.30273017
93000	-0.8501684960475058	0.0014971287	7.919281e-05	-1.0535557	-16.976284	-0.06696178
94000	-0.18356005031508157	0.00031442608	0.0003433105	-0.9292957	-17.43143	-0.0966851
95000	-0.3508118975531788	0.00037844726	0.00023956812	-0.7889605	-18.934927	-0.24954423
96000	-0.992494376246946	0.0003807895	9.3177405e-05	-0.6307434	-22.554708	-0.64811385
97000	-0.5487036927780394	0.00054242025	0.000119603195	-0.51425385	-23.421618	-0.7183831
98000	-1.500213530907959	0.018085826	0.00010637959	-0.39794523	-23.993963	-0.75274384
99000	-1.4198197106693462	0.0002447447	0.00020169266	-0.2793746	-21.133194	-0.39754283
100000	-1.3240047474087722	0.0019656064	0.00018367349	-0.13361053	-23.841162	-0.6738502
