Step	Validation total_reward	Q network loss	Value network loss	Policy Loss	Alpha Loss	Log Pi
11000	-5.262714331331261	0.0045905784	0.25571963	-6.012885	-3.9126077	-1.9272794
12000	-2.2266442297336733	0.0011466219	0.028859686	-7.4541397	-7.860868	-1.9359102
13000	-4.8713511606673086	0.002470556	0.008330629	-7.599145	-12.794937	-2.2698832
14000	-3.5278559477544045	0.0039039198	0.0031922767	-7.191229	-15.661199	-1.9248693
15000	-4.102370852558279	0.0023201292	0.0028771786	-6.799565	-20.058172	-2.0345683
16000	-0.6760860493804992	0.0006584249	0.0004636097	-6.1952415	-21.62268	-1.6593227
17000	-2.544408297282378	0.0028403616	0.0045946664	-5.5959377	-15.305193	-0.27837935
18000	-2.690634789784186	0.0023146537	0.0057143187	-5.0904746	-7.398023	1.0010685
19000	-1.5232946004831447	0.0012992156	0.002392739	-4.5866976	-2.2636974	1.7083347
20000	-1.9422672439840172	0.00054956356	0.00024527978	-4.2859473	-4.767861	1.3976077
21000	-2.9660820617951207	0.0004746627	0.0004602615	-3.8219924	2.6086152	2.3324802
22000	-2.606237085832906	0.0018787187	0.00038767184	-3.4914346	-1.1017494	1.8579412
23000	-4.307363806834209	0.0013762577	0.0031216438	-3.0262156	3.484717	2.451353
24000	-2.608059133980885	0.18859819	0.00073071325	-2.6562514	2.0260417	2.266839
25000	-2.358625094774632	0.003171775	0.0015867138	-2.5028312	0.21579707	2.0285623
26000	-2.843686071399406	0.0011830995	0.0007940711	-2.2120724	-0.8328998	1.888355
27000	-3.147858570311984	0.0006848589	0.0009908685	-1.8869877	5.236668	2.7063768
28000	-2.472039236625475	0.0006063398	0.0007575856	-1.79936	2.2253184	2.3046453
29000	-2.451778051581767	0.0007432904	0.001040719	-1.301651	0.8067031	2.1114037
30000	-3.65516310516107	0.00088286586	0.00039967545	-1.2218184	0.13437915	2.018712
31000	-0.4287827468628927	0.0010747111	0.0036656745	-1.1998031	-4.3006926	1.4005785
32000	-1.1297647904595445	0.0014900139	0.0012664861	-0.8615551	2.8390052	2.397341
33000	-1.6894285966875113	0.0015746492	0.0019041193	-0.8357457	-1.378361	1.8060625
34000	-1.4089900920440628	0.0012866848	0.00079737295	-0.53853846	-3.5791621	1.4969255
35000	-2.7561828791088794	0.0005369609	0.00081436214	-0.56766784	-2.2026727	1.6927699
36000	-2.572917957058198	0.0007197503	0.0010000978	-0.3586815	-0.24900895	1.9651644
37000	-2.2886709812062658	0.00063751714	0.0012186419	-0.07661443	6.342628	2.8894007
