Step	Validation return	Validation steps	Validation return std	Validation steps std	Q-value evaluation	Q-network loss	Value-network loss	Policy-network loss	Alpha loss	Log Pi
11000	-0.422176258931246	160.0	0.14382794998372067	0.0	-1.2513688265721874	0.006760080995615125	0.008426899207252942	1.1782128133306253	-3.6861092742958563	-0.6882447662427499
12000	-0.49791458684751183	160.0	0.24681864445604504	0.0	-2.9948857741673307	0.009702041963559931	0.016944705326301202	2.8908865548871363	-7.392609768683252	-0.6967486559300134
13000	-0.36835312423035094	149.0	0.15396309927829616	22.0	-5.150516333092018	0.011328542566326386	0.015144176333015649	4.750636816114994	-11.013818621820267	-0.6729247237672041
14000	-0.4352540352757176	156.2	0.10146967576572469	7.6000000000000005	-7.539473556904501	0.07102310801553488	0.28213858532462105	7.363921632697441	-13.877374991701274	-0.4803062499330386
15000	-0.2938330468371172	125.0	0.6666631259238367	62.30890787038399	-9.5777750935644	0.06262749965382829	0.09672441500723801	8.547952075938156	-14.503917019932837	0.05165109859066011
16000	-0.4795441977312261	124.6	0.18249008910829373	31.148675734290855	-11.820034577713372	0.04998985871450695	0.06771449113821829	12.332834960048078	-14.18535071677321	0.5413227550938244
17000	-0.5487886425224472	151.2	0.2896438689521884	17.6	-13.832357938875564	0.06522859110746218	0.028493390819077237	13.505650336953622	-10.146584121260414	1.4468589036016866
18000	-0.4672559040055376	131.8	0.21276594190742038	56.4	-15.848596290109928	0.0895602375346185	0.098007704225366	15.810156696346425	-6.1502149930155	2.1298509517896402
19000	-0.517168048125831	149.6	0.1393183415938706	20.8	-17.54780433398905	0.0672163823928345	0.06367512515948714	16.652577028546983	-1.0642068301344496	2.8549235286569052
20000	-0.6385503317012695	145.6	0.06764000635980785	23.686282950264694	-19.259792685935412	0.1797910500807593	0.06704252112463313	19.874965679247683	0.42182465689039483	3.0585637830642627
21000	-0.5337722444172635	122.6	0.10333971761289354	45.806549750008465	-21.015733463037673	0.2134659223271961	0.1229377014943029	19.935596040621377	-2.4431022498335597	2.6476834718143056
22000	-0.5855757912413255	144.2	0.22610037870330313	23.429895432971954	-22.397400531461194	0.18529591405257884	0.11244718609199991	22.644247445934077	4.225548371241762	3.623564670984456
23000	-0.08480718222189192	114.8	0.5426524613732875	62.53766864858331	-23.89954377589079	0.16881870809422023	0.04891010544896106	23.777333783356813	0.6646635860974914	3.1015674393904824
24000	-0.5919258246499876	160.0	0.04621702397767433	0.0	-25.28533293644348	0.1998837441824442	0.016213174390740402	26.21612967705304	-0.75198380455408	2.8823296797134796
25000	-0.4882197446886634	157.8	0.15937624198974384	4.3999999999999995	-26.410899378446658	0.20721858530785883	0.1867733263344757	24.025139049109004	1.2540471725037428	3.19650033980631
26000	-0.5943536512379325	140.6	0.26343945078369835	38.8	-27.96029347887137	0.39104525804999746	0.15617070064475871	28.143768742585202	0.6603965482050727	3.102217566522058
27000	-0.4382575212027505	143.0	0.051840441501976	34.0	-29.116536714348015	0.29415892571360386	0.06578934764356494	30.177682969042117	1.1741442695052378	3.1909164618088575
28000	-0.5352985209028766	144.4	0.2018206200177383	31.2	-30.117844752469168	0.33033458948301436	0.12322987557527554	30.791838598200272	0.10302117991553783	3.0165559105764754
29000	-0.5256256827312253	148.0	0.15091654698173007	24.0	-31.301988638278573	0.33043393406204274	0.10074724459481918	31.24582819248719	0.8022546051908735	3.1317167030044866
30000	-0.21864595557837568	128.2	0.6363967203961544	63.6	-32.360732563505614	0.3775918797936761	0.06781028420327664	34.65356009997501	-2.181035740517613	2.629935686022275
31000	-0.49125768147002286	155.8	0.16839147137724272	8.4	-33.34066088665903	0.4790350924257815	0.1356990269233309	32.54697143895153	1.08738122971906	3.188971262697701
32000	-0.16113228746968655	106.8	0.5901452844226015	67.19940475926852	-34.07847096228925	0.8284019188439529	0.3937590670595509	35.71681989029386	0.05066671336180373	3.008590040192737
33000	-0.3879829258719444	107.6	0.27589934815165246	40.529495432339154	-35.05562046340153	0.49234604631707	0.05136944515130398	38.078246873798335	0.5032908353159602	3.083667061364706
34000	-0.40734552380801503	131.2	0.1869365330067664	57.6	-36.20827574244433	1.1528720780041068	2.985704760298882	39.013895020288125	-1.4634574947224757	2.74712999893613
35000	-0.46515375357367966	160.0	0.1389403321031506	0.0	-36.79436787721209	0.2462583135620558	0.1429698435066042	37.34094053311861	0.9316265786479657	3.1620659081766576
36000	-0.6689517592080229	149.8	0.19655350400155958	20.400000000000002	-37.695641653423074	2.889710085179666	0.2158674194372217	37.87342339034651	0.696252375019232	3.1238378383667067
37000	-0.3649703758795501	147.0	0.1634968786163882	26.0	-38.433733859858684	0.38179911131875366	0.1216726276847241	37.910323399278134	0.4104017805273751	3.070539411087062
