Training steps	Validation return	Validation steps	Validation return std	Validation steps std	Q-value evaluation	Q-network loss	Value-network loss	Policy-network loss	Alpha loss	Log Pi
11000	-0.37893135472609485	48.4	0.47207474364275004	23.2	-1.969269923200982	0.02670031117351629	0.018439254270813384	2.0350376882711876	-5.211555529097609	-0.6089956970090057
12000	-0.37288351809031967	60.0	0.20981146433520848	0.0	-4.502208659408197	0.2353341852880083	0.03696753239924805	4.456228474834472	-5.504299789172289	0.5433523875219932
13000	-0.3173557108991464	50.2	0.1798086006588328	19.6	-6.629205482228615	0.07442560259121656	0.038915024856932615	6.770254427324275	-2.007715808049782	1.5652946438926016
14000	-0.38709270224640635	55.4	0.07807840496282738	9.200000000000001	-8.180998661136954	0.12847583201303736	0.04601954194988871	7.849664230316153	-0.36199536834443125	1.9230155009869228
15000	-0.26218028656493947	60.0	0.11435441153089666	0.0	-9.691075959110789	0.05524247563647974	0.03630878889186695	11.337689525455419	0.8172359648921605	2.1749574045189366
16000	-0.33843361095535646	54.8	0.17372481561303504	10.4	-10.924682166834849	0.14911483567617823	0.07958340362943495	10.485296120602495	-0.5288809578210869	1.883914223368397
17000	-0.4588942774978559	60.0	0.13324273291621486	0.0	-12.1665981210514	0.1108132447467265	0.07958589701590266	12.676218286470469	-0.46571561964496383	1.8963034705709887
18000	-0.3130386215399578	53.4	0.11836287138577012	13.200000000000001	-13.176189058191992	0.0770811030201197	0.12093454909624961	12.883604628447664	-0.7944519026170063	1.8199398011424628
19000	-0.43156778602366097	60.0	0.1515799865646043	0.0	-14.036623486050424	0.2065847087096926	0.2771005089854567	14.063831139622513	1.8724245366772165	2.4216339142412133
20000	-0.41132405858190857	54.0	0.06751794117454064	12.0	-14.93612564716342	0.20022912561804668	0.274319594772144	15.192142422223604	-0.1718218758515866	1.9609230728387077
21000	-0.26121887415266587	47.0	0.08178226007207547	18.066543665017942	-15.497397602715797	0.6216773446709087	0.1881673387081027	16.53481882936596	1.3657590586022137	2.313556696756666
22000	-0.18568799601209984	51.0	0.057461380303209145	18.0	-16.30045858367608	0.19040409200573843	0.1675951639082348	15.727249510222226	-0.05898420299981805	1.9860508049460819
23000	-0.33164218580777727	59.4	0.09226025233977438	1.2000000000000002	-17.036375071921444	3.787440226573557	0.25709739486630234	16.892887251650965	-0.4651667221254482	1.8903630533373748
24000	-0.4015580142271755	60.0	0.12209930977476957	0.0	-17.591915696953745	0.20256449191493214	0.1487720466351053	17.17251030459444	1.73434718861883	2.4176154100783656
25000	-0.37621243067881127	50.2	0.07770306795835719	15.904716281656833	-18.114600518511935	2.138594234194075	0.19752190663592328	17.018957743620355	0.10837753827953028	2.0265732781594057
26000	-0.38627668943174154	57.2	0.13710329281967473	5.6	-18.612183236425018	0.21633379755727417	0.18151423821310403	15.474611042066748	0.05594706310418052	2.013827347422179
27000	-0.235358551563301	50.8	0.10964507516341647	18.4	-18.845435692250735	0.571311829946735	0.46236528763617435	16.60052217485219	1.134262207563285	2.2797385010151574
28000	-0.17423756358551318	40.2	0.17521648839947007	24.30144028653446	-19.1927226720353	3.9553516220965594	0.37161174389298884	17.949024786342882	-0.9084974694185131	1.7693726494032251
29000	-0.318243590987751	60.0	0.058637141325273305	0.0	-19.69368791799202	0.2864404437445165	0.1911488516338783	17.464028624119212	1.240443554720649	2.3125379492398324
30000	-0.39914291330007395	50.4	0.15682875417797276	11.77454882362802	-19.93298811790882	0.268898595667567	0.19248574746110786	18.848298109445565	2.7580973052718507	2.6961296515169666
31000	-0.4260755516905042	53.6	0.13831028487430763	12.8	-20.20368902093091	0.2508861658676843	0.17241911066727766	18.266810149610766	-0.3403466625823607	1.913385338615468
32000	-0.3493887959370213	60.0	0.1391320765611097	0.0	-20.54984314050264	0.3351730055322577	0.38418573422013824	17.866073279866704	-0.8045129528239767	1.7955008171137972
33000	-0.32307343785299214	35.0	0.07580376705345565	11.916375287812984	-20.466592565593913	0.5142822587652011	0.3072459825682151	16.484695703931862	-0.6297419008237339	1.8397670794940455
34000	-0.22450739079727366	51.0	0.04519028940864701	18.0	-20.374723650998824	1.2283734542449354	0.39414268476226977	18.73538465516754	-0.5110889956898375	1.8720967695486395
35000	-0.24193200435270873	60.0	0.10805341014224133	0.0	-20.389117367398374	0.3182582704635659	0.37891745740986726	19.320810718303346	0.29323257726673535	2.0746077893149026
36000	-0.2734957563499429	52.2	0.10437717039498207	15.6	-20.519619219678404	1.0406686107920997	0.4965436940093128	16.535452304246483	0.7650622127405817	2.198010034896642
37000	-0.21796844275283966	43.4	0.15380811367093375	21.592591322025246	-20.654434548597685	0.7178495373722847	0.5482230729848631	18.581363646558863	-0.33403768792206345	1.913452905417524
38000	-0.2496122210664217	60.0	0.06718368682463804	0.0	-20.333068965358223	0.39756796250869664	0.3960272208626395	19.6238514397261	-1.0506640574841526	1.7262085036216381
39000	-0.33269028316943244	52.6	0.2444048190329544	14.8	-20.48478799492525	0.37445906197895323	0.3757668772860865	16.501000460283542	-1.277451732538315	1.6721958223060887
40000	-0.33072219537352243	53.6	0.07561920494725943	12.800000000000002	-20.548609883848847	0.5921931424143072	0.34278367071284765	15.979703945480129	-0.07752093473399971	1.9800495024138405
41000	-0.3371581732183895	45.4	0.40979896738304467	22.464193731358353	-20.43533404383387	0.3756684670035993	0.24504559690553637	16.93477620633771	-0.6971256312643841	1.8204126281197484
42000	-0.21842167358105796	51.6	0.1290001147669413	16.799999999999997	-20.278282949262007	0.4001244395714838	0.39808234982422724	15.104741452595317	0.8811047016857831	2.2245417171668684
43000	-0.21820369490009267	60.0	0.10788046179553602	0.0	-20.211357840867166	3.740538809753911	0.5102636784835739	16.243692688705476	-1.5593501019934566	1.5950708079305465
44000	-0.36580974375192576	53.2	0.12032031676608083	8.423775875461075	-20.14092041959421	0.6091922825372039	0.3964057082268018	14.940054103363101	0.33496030048064446	2.0871697828871327
45000	-0.2573205877091893	45.0	0.07696877269651922	16.540858502508268	-20.313605449256155	0.5550421203480016	0.2792915497118592	15.789139321048903	-0.7266463383853741	1.812434429919309
46000	-0.4852453969074987	43.4	0.13191833647084325	11.672189169131899	-20.31560443727439	0.35395123924243943	0.2660098731656458	15.933668375210118	1.1514225961023015	2.302036925538105
47000	-0.2380852381358099	52.0	0.06318806622684574	11.027239001672177	-20.17265311088288	0.48659796000156724	0.2655081498046329	15.806010372209958	-0.803016434604735	1.7912472825118453
48000	-0.2585218530670218	51.2	0.07251875651313253	10.007996802557443	-20.11245508629338	3.0303262390759333	0.6682323590813675	15.346382190163602	0.745161799789557	2.1944188421493704
49000	-0.04315238025649364	36.4	0.5280060618932171	22.455288909297067	-20.19270200038462	0.307578500626129	0.37450556575086863	15.148502007298916	-0.49400766589915895	1.8686710675977056
50000	-0.25731982403248577	51.2	0.06454156604993642	12.82809416865966	-19.962012913698484	0.3367106308525457	0.30587367495595963	15.741773737975556	0.3994068927438182	2.105995497425173
51000	-0.3127516864176595	55.8	0.1528691585922859	7.4404300950953095	-19.929450752512835	0.6897854586285457	0.4187215188810919	17.31513405759302	-0.7303630644012009	1.8053377789702256
52000	-0.2650209803291464	60.0	0.0803467421542338	0.0	-19.96660043740041	0.6517360843956985	0.3131684580547326	14.864738907834749	-0.2433020727438182	1.93558792692855
53000	-0.2818011462806835	50.8	0.1593956943077321	18.4	-19.69624685665647	2.939129503451298	0.41244242579020096	15.801969081510931	-0.30400053253938353	1.920338644485505
54000	-0.2427449097204179	43.2	0.07094882404050672	20.6145579627602	-19.687860479869613	0.3962289370094878	0.28740834516133673	15.302484429942329	-0.6080799987236386	1.8430187280306745
55000	-0.3721540225696579	57.4	0.06028180867184893	4.715930449020639	-19.569570790017597	2.8570191472721342	0.3350556362326171	14.053271565192901	-1.4448537038625957	1.6208631716867825
56000	-0.2158249954046368	60.0	0.05472950293210884	0.0	-19.458261563587023	0.43962775014792405	0.31264169539321995	15.43166644533503	0.9357755707548265	2.2459806005459333
57000	-0.31595129675557987	52.2	0.10134534514642152	12.812493902437575	-19.402135225155504	0.563849540411851	0.22715622425465498	17.81735391050398	-0.23555557053211745	1.938120345061831
58000	-0.3104791837436212	55.4	0.13453187177742226	9.200000000000001	-19.17005270402343	2.4892740703664287	0.33995528241832085	12.575631579907636	0.11073267029216466	2.0288658881075934
59000	-0.2786428051636192	60.0	0.14411899221589172	0.0	-19.16237813786126	3.6084715889797216	0.21071111906396778	15.940644461456259	0.25833642933809425	2.067292293474977
60000	-0.2728676645836221	46.8	0.016631537182792276	11.7881296226331	-19.101958302671076	0.3944545679787492	0.3150560649740681	13.419384688326993	1.1490640957925298	2.2957783979587427
61000	-0.31944373916459357	49.2	0.14481947827365496	15.574337867145427	-18.94872651050169	0.7263695162657595	0.5116492959835373	14.801959605123136	1.4277120959260818	2.3755908451107244
62000	-0.08130177336582027	48.2	0.5582076722835373	23.599999999999998	-19.02830098778338	0.3981771008171433	0.2931062040935184	14.92476374300536	0.16659178446873985	2.0430140535359564
63000	-0.30527120829523113	35.0	0.2114236003796058	19.026297590440446	-18.95992024758844	0.31288704145716506	0.19350339335827185	13.9138112312074	0.09008047158974719	2.0235212330085854
64000	-0.302991068573272	51.0	0.17654419415319736	11.713240371477058	-18.868017767432715	4.669368830209316	0.46127139398183525	13.685064715789236	-0.9064732329241133	1.7656608056922896
65000	-0.30786888299733084	45.8	0.17347763046188275	19.661129163911212	-18.911179541819884	0.26704527083079593	0.2653957340479737	14.016604874358583	-0.3114735762983434	1.9203396874293661
66000	-0.2019293928620148	44.8	0.12954201460144882	20.8940182827526	-18.81039220547272	0.5389877832350872	0.23862307444096548	13.021186173263033	0.2883853034795246	2.074918669669175
67000	-0.3213253654180273	47.2	0.12793180794569084	10.851727973000429	-18.72736475462261	0.5139617454589791	0.3294018299822817	14.801988642722563	0.40441661991434086	2.1050248615571565
68000	-0.29106456851454054	51.8	0.12261152937139345	11.106754701531855	-18.47300139168379	0.41290549940917565	0.2070426188345711	13.859889162530068	-0.24259867663538506	1.9380458088430426
69000	-0.25672580986943583	40.6	0.282970738398786	20.857612519173905	-18.555936559958177	0.4414251520707063	0.2421157105881259	15.384679172890507	-1.4196591546740764	1.6372002958286593
70000	-0.18643237002508456	52.2	0.043567035702880605	15.6	-18.57947793406619	0.3494280076800852	0.36441123155987915	13.481296475250577	-0.022063987844647304	1.9942451712892237
71000	-0.26549119889486833	47.4	0.11789027568389417	15.589740215924062	-18.535899865212187	0.49191905325338425	0.29643132157215596	11.605455480505995	0.8081069196183518	2.2081539990328123
72000	-0.33558857276000736	58.4	0.14239827969973434	3.1999999999999997	-18.470630788474566	0.3973725779780015	0.22769695858911476	12.52555800908307	-0.5939392356770833	1.8499721245731493
73000	-0.17668274195343478	47.2	0.08849880742347964	19.009471323527123	-18.43772823451716	1.2345698834414969	0.5153674583815545	14.366186202013711	-0.36096241898693193	1.9078210637128772
74000	-0.08012493831838494	36.8	0.5558915016325015	22.480213522117623	-18.275953328101934	0.5943194908056345	0.2811520484198309	12.605182579301928	-1.2688067097779647	1.6742072290522398
75000	-0.23983525575935496	42.0	0.11868519528190907	22.190087877248256	-18.25754134952399	1.0395517054653878	0.1593221868512169	12.45814745373554	-0.17927333861701022	1.9543988617737742
76000	-0.24257451750431044	27.6	0.19201875011383476	14.961283367412035	-18.215859927850342	1.0126703429789574	0.22761709973054478	13.036644282288043	0.38959605795811314	2.1002951621667587
77000	-0.4396069355661864	42.2	0.28212312180580623	19.3225257148231	-18.052033882402156	0.7542620913727764	0.5009829332586468	12.977030754306707	0.4040105392756163	2.101841620013283
78000	-0.26945318460000484	34.2	0.1079385138530593	16.521501142450706	-18.078159354667335	0.3364272439188104	0.288800016623759	11.571305054285666	-0.5864647315744258	1.8518264739591537
79000	-0.2446100302779676	60.0	0.07532662616349428	0.0	-18.09315457071969	2.4482666027264317	0.31975917613178545	12.353915542414036	-0.2701000959205548	1.9305694065915335
80000	-0.25774082402332704	47.6	0.12563310966579136	15.304901175767192	-17.91546957935706	2.0125291891988115	0.13987297407103033	13.134189280010837	-0.7547205475099861	1.807049615687165
81000	-0.24048741609436428	45.4	0.12296011745447524	17.884071124886525	-17.847619583895604	0.35495719514377844	0.2232703825589746	11.486053180654347	0.1944912086191732	2.050262797677768
82000	-0.28093527100208315	49.6	0.15357796556211853	13.95134402127623	-17.73035963546309	0.46114789615808965	0.28431992450554355	12.575009942202755	-0.8335530617568562	1.788194972212339
83000	-0.1305627221499701	37.6	0.5748979192532773	21.499767440602703	-17.905378834461203	0.44978009669715213	0.4946678501569146	11.848960959587139	0.35323536146888695	2.0901465774940284
84000	-0.3479513087041936	43.6	0.11733944237622304	12.815615474880635	-17.714516006957375	0.4697764494555979	0.32552265594060814	13.257556246945654	0.1898666009055313	2.0484673286446142
85000	-0.27786389109669324	51.4	0.1297015611756593	11.551623262554921	-17.562433786054886	1.5044215347517298	0.22485115961632296	13.189600150255975	-1.2408874032730102	1.6798483471066452
86000	-0.3089675214712265	55.8	0.1303764832415104	5.878775382679627	-17.489061802466555	0.3905837096492213	0.38025522594135186	12.235341259217812	-0.06273152664734906	1.9839605220350593
87000	-0.24923657916772785	41.6	0.10804109450817559	22.544178849538962	-17.554497889180723	0.5080490293041175	0.28981467716014553	12.64417710950733	0.16966224805122299	2.043079316974208
88000	-0.1903471440782158	60.0	0.0380110018370314	0.0	-17.426209212260414	0.9748469994922428	0.1786655029063911	13.447674215325172	-0.00034922126542491494	1.9999102580199324
89000	-0.2843766884281824	55.4	0.12873631056920654	9.2	-17.14011479373876	0.5402648634893825	0.2739975670016653	11.819359275984532	-0.8082548853932414	1.791233076428349
90000	-0.278013293099656	58.0	0.12420751296882993	4.0	-17.089996988163495	0.3519456835534782	0.21339184732251498	11.526262517637276	-0.9201250078769604	1.7626805737235602
91000	-0.2425775910009202	47.8	0.0655454360280988	15.025311976794358	-17.37923306746389	0.3739917540618405	0.3141996932600054	12.691404797785776	0.9140828168716824	2.2340075291969868
92000	-0.01902260135258249	41.4	0.5228872166566442	21.91437884129961	-17.23739928634018	0.6778668166375332	0.11036233819777677	8.54113799516145	-1.0646616514084686	1.725599083775598
93000	-0.22808297966742294	49.6	0.1746697288942411	20.8	-17.241993185172166	0.944247922646769	0.1634899463672988	8.19829258790476	0.05794477957983257	2.0147749118185674
94000	-0.29093780329982466	54.2	0.04769705869690222	9.724196624914574	-16.99941862812441	1.178639806469004	0.3702452580653043	11.924781689993083	-0.05934043496281788	1.9848684264496992
95000	-0.39420074916336245	57.0	0.10593362298123549	4.0	-17.002582420794685	0.4812065483700143	0.2646389416319681	12.314230474950236	-1.7580999899757264	1.5434009997767069
96000	-0.24847335302041565	57.6	0.08825488956472806	4.8	-16.922917886413618	0.4511947367828867	0.26371082671459267	10.242609126249699	0.7031461104388088	2.177051537540823
97000	-0.20162661794660153	39.6	0.137822442798126	20.293841430345317	-16.800875039649625	0.3493548755251479	0.15584580705757906	10.530159917926639	0.2039938438786748	2.051545996094447
98000	-0.294661160802595	48.6	0.12632577657774544	13.965672200076874	-16.861717844624113	0.2809905835708729	0.2343243131374133	10.187522679321226	2.3660302567374814	2.6054507231966135
99000	-0.38230138596822205	47.6	0.13869224053388957	15.473848907107758	-17.045892237371152	1.5989826465406793	0.2796801539481348	10.336190422354587	-1.0998771765610207	1.7202554849477805
100000	-0.335894418651742	56.6	0.17186774944570699	6.800000000000001	-16.822463793318555	0.4398181741100746	0.34239967908800584	10.707013950831588	0.19317264410596702	2.0495696555543104
