Averaged Steps Traning	Averaged Return Training	Averaged Steps Validation	Averaged Return Validation	Cumulative Successes	Number of episodes	Sampling time (s)	Epsilon threshold	Gradient update	Updates target network	Average q-value evaluation
150.0	-60.39	3.0	-0.45	18	25	0.08993196487426758	0.8736011318995652	0	2500	0.042976271361112595
150.0	-42.32	16.0	-4.86	32	50	0.04537930965423584	0.8444093237316155	0	5362	0.042976271361112595
30.0	-0.22	25.0	-10.42	41	75	0.011569414138793945	0.8158308703580412	1926	6342	-0.29911941289901733
150.0	-0.32	0.0	0.0	53	100	0.044575326442718506	0.7890006861885411	4754	6342	-0.2993334233760834
150.0	-60.7	8.0	-2.91	65	125	0.03531588554382324	0.7611876716573099	7798	6343	-0.6179339289665222
133.0	-0.3	10.0	-3.06	77	150	0.026033493677775067	0.7365893361279784	10589	6343	-0.6458806395530701
52.0	-0.38	0.0	0.0	88	175	0.008678983960832868	0.7112859507009575	13568	6343	-0.626643717288971
150.0	-57.47	2.0	-0.51	103	200	0.022066407203674317	0.6902436771813477	16130	6344	-0.9149971008300781
150.0	-36.88	8.0	-3.73	117	225	0.019888216654459636	0.670095717683888	18663	6344	-0.9658293128013611
150.0	-38.11	0.0	0.0	131	250	0.018479472160339357	0.6489699018261812	21411	6344	-0.9037489295005798
150.0	-64.15	0.0	0.0	142	275	0.01626588734713468	0.6286216729927301	24151	6345	-1.2539080381393433
150.0	-58.78	0.0	-0.01	158	300	0.014957207838694255	0.6098737710515921	26761	6345	-1.2129430770874023
71.0	-0.34	1.0	-0.12	171	325	0.006644672980675331	0.5921465484488868	29310	6345	-1.2549059391021729
150.0	-36.75	1.0	-0.34	185	350	0.01345888750893729	0.5754992953929181	31780	6346	-1.5909780263900757
38.0	-0.36	5.0	-1.8	201	375	0.003158693313598633	0.5586951153108778	34355	6346	-1.5503062009811401
67.0	-0.27	10.0	-3.64	214	400	0.005075627565383911	0.5426745674501215	36890	6346	-1.5848993062973022
41.0	-0.48	0.0	0.0	229	425	0.0028354268915512983	0.5264790946834844	39539	6347	-1.9212013483047485
150.0	-56.69	45.0	-17.45	246	450	0.010005497402615018	0.5114327622909175	42081	6347	-1.8676637411117554
28.0	-0.4	12.0	-4.14	265	475	0.0017392183604993318	0.498293812750884	44367	6347	-1.8955774307250977
150.0	-50.29	0.0	0.0	280	500	0.009206995964050294	0.4838988096751094	46953	6348	-2.209411382675171
150.0	-41.68	7.0	-2.3	292	525	0.008681117920648483	0.469834820536693	49564	6348	-2.1971280574798584
81.0	-0.32	0.0	0.0	304	550	0.004515701640735973	0.45582066471133714	52255	6348	-2.221118211746216
94.0	-0.28	1.0	-0.06	315	575	0.004882974624633789	0.44143181996943903	55118	6349	-2.482785224914551
22.0	-0.39	25.0	-8.88	328	600	0.0010571078459421794	0.4289100529034794	57694	6349	-2.5309672355651855
150.0	-40.46	0.0	-0.01	345	625	0.006203132629394531	0.4176656073833803	60079	6350	-2.77939510345459
107.0	-0.34	12.0	-4.39	362	650	0.005104166911198543	0.40684404924302825	62444	6350	-2.8512799739837646
115.0	-0.26	35.0	-12.45	378	675	0.005250240961710612	0.39553669621722803	64995	6350	-2.8279941082000732
150.0	-42.96	23.0	-7.09	397	700	0.006588946751185826	0.386092476402794	67187	6350	-2.765230178833008
150.0	-49.81	4.0	-1.86	410	725	0.006243666615979425	0.37487771483665794	69877	6351	-3.1695568561553955
148.0	-0.33	0.0	0.0	424	750	0.006077341397603353	0.3653234222788113	72240	6351	-3.1502609252929688
100.0	-0.26	1.0	-0.18	440	775	0.0035010953103342362	0.3563754619023539	74518	6351	-3.159119129180908
150.0	-48.74	0.0	0.0	453	800	0.005717999935150146	0.3466191075223499	77082	6352	-3.5136215686798096
