Training steps	Validation return	Validation steps	Validation return std	Validation steps std	Q-value evaluation	Q-network loss	Policy-network loss	Alpha loss	Log Pi
11000	-0.30378947064269435	60.0	0.1105920500636474	0.0	1.0	0.09165293	-1.5059915	-3.3723998	-1.3755269
12000	-0.26102303527910686	60.0	0.030523003521277608	0.0	1.0	0.064390376	-1.1824203	-6.694709	-1.3484101
13000	-0.275443958066715	60.0	0.05895044958938055	0.0	1.0	0.15399024	-1.0678387	-10.087141	-1.3630817
14000	-0.33017441982731827	60.0	0.0691463245977198	0.0	1.0	0.19749105	-1.0251873	-13.500139	-1.3756118
15000	-0.3191754330425406	60.0	0.07165348161759477	0.0	1.0	0.18265516	-1.0090278	-16.700691	-1.340487
16000	-0.35290910511228313	60.0	0.08767660155585358	0.0	1.0	0.23036976	-1.0033411	-20.088448	-1.3484124
17000	-0.35515518460313256	60.0	0.04594256502378982	0.0	1.0	0.22650343	-1.0012691	-23.744228	-1.3922775
18000	-0.3043808460453559	60.0	0.08068917343056316	0.0	1.0	0.2266947	-1.0004635	-27.05487	-1.3821024
19000	-0.3281819365026573	60.0	0.04607289892783204	0.0	1.0	0.22304565	-1.0001694	-30.354689	-1.372924
20000	-0.35663544582664175	60.0	0.08752538218139864	0.0	1.0	0.21443418	-1.0000616	-33.624855	-1.3626504
21000	-0.26194941358203255	60.0	0.035457452328973696	0.0	1.0	0.24263853	-1.0000225	-36.862114	-1.3512505
22000	-0.296583691995446	60.0	0.08562438900953054	0.0	1.0	0.24691918	-1.0000085	-40.657547	-1.3883235
23000	-0.2666015365426416	60.0	0.033901346187880224	0.0	1.0	0.21603218	-1.0000033	-43.536747	-1.3491611
24000	-0.3600662365727539	60.0	0.0781794574596427	0.0	1.0	0.21832618	-1.0000014	-47.431076	-1.3881239
25000	-0.3529940954311984	60.0	0.10749106818830767	0.0	1.0	0.2555051	-1.0000001	-49.940643	-1.3296202
26000	-0.27685284853256215	60.0	0.05655601727522212	0.0	1.0	0.21814573	-1.0000001	-54.03464	-1.3773682
27000	-0.2796018146053473	60.0	0.09169230250449908	0.0	1.0	0.21662097	-1.0	-57.22858	-1.3666167
28000	-0.3411633299361787	60.0	0.08751264484668159	0.0	1.0	0.2390337	-1.0	-60.549698	-1.3640478
29000	-0.27417832517583923	60.0	0.0671678834545274	0.0	1.0	0.21232742	-1.0	-64.44614	-1.3920628
30000	-0.25899574026202005	60.0	0.044442304207645805	0.0	1.0	0.22583562	-1.0	-67.569275	-1.3786175
31000	-0.2727634641461016	60.0	0.026916172419794885	0.0	1.0	0.21412468	-1.0	-70.55594	-1.3599411
32000	-0.4108949967255244	60.0	0.12418783010922137	0.0	1.0	0.2155124	-1.0	-73.959854	-1.3619096
33000	-0.3228719316193167	60.0	0.10706111989730825	0.0	1.0	0.21446338	-1.0	-78.12235	-1.3967357
34000	-0.3802325219881548	60.0	0.10688891570816271	0.0	1.0	0.22119413	-1.0	-80.23307	-1.3431697
35000	-0.34829784472594516	60.0	0.05127505740649938	0.0	1.0	0.25747484	-1.0	-83.521355	-1.3410037
36000	-0.3290809614126737	60.0	0.07880865164557742	0.0	1.0	0.23486741	-1.0	-87.70156	-1.3732898
37000	-0.3420330575841844	60.0	0.10449865178919461	0.0	1.0	0.21239324	-1.0	-91.22929	-1.3790216
38000	-0.3052616070784108	60.0	0.06856942377638178	0.0	1.0	0.19865468	-1.0	-93.72624	-1.3475059
39000	-0.25273190737962403	60.0	0.0590413287713075	0.0	1.0	0.24569699	-1.0	-97.137115	-1.3496784
40000	-0.30812041707876103	60.0	0.04999340882561277	0.0	1.0	0.21416906	-1.0	-101.49486	-1.3833239
41000	-0.3410067193262515	60.0	0.11035437722578437	0.0	1.0	0.21286699	-1.0	-105.23312	-1.3947879
42000	-0.4040199167652525	60.0	0.05190858467106828	0.0	1.0	0.24233805	-1.0	-107.6451	-1.3640555
43000	-0.3703918343978699	60.0	0.09162460034834592	0.0	1.0	0.23097867	-1.0	-112.6145	-1.4127228
44000	-0.3276199690838636	60.0	0.1052037610632989	0.0	1.0	0.23500949	-1.0	-115.71181	-1.4034705
45000	-0.35339602642986323	60.0	0.08542596069295126	0.0	1.0	0.24069208	-1.0	-117.50813	-1.3575215
46000	-0.33599428070438675	60.0	0.06846830533968279	0.0	1.0	0.22850412	-1.0	-121.10142	-1.3640847
47000	-0.2936520167027939	60.0	0.04545122973471076	0.0	1.0	0.22778642	-1.0	-124.104935	-1.3543735
48000	-0.3016022195841771	60.0	0.07196049063995993	0.0	1.0	0.2404896	-1.0	-127.699554	-1.3606912
49000	-0.3116396864724217	60.0	0.09546467184094766	0.0	1.0	0.21200207	-1.0	-132.79846	-1.405261
50000	-0.2794378993969587	60.0	0.06743534697900244	0.0	1.0	0.23133753	-1.0	-135.07431	-1.377042
51000	-0.31701360286936087	60.0	0.09311316481550078	0.0	1.0	0.22012302	-1.0	-140.05917	-1.41624
52000	-0.2652387598604795	60.0	0.02440141970796952	0.0	1.0	0.22060671	-1.0	-140.97388	-1.356672
53000	-0.2977792091844293	60.0	0.08132929967756863	0.0	1.0	0.21821043	-1.0	-145.3043	-1.3793174
54000	-0.31095591163167574	60.0	0.09014454723586157	0.0	1.0	0.21477562	-1.0	-148.94283	-1.3852392
55000	-0.2395708603138375	60.0	0.019544502189653198	0.0	1.0	0.21512283	-1.0	-151.84077	-1.3744242
56000	-0.26322876567077563	60.0	0.03974092937955831	0.0	1.0	0.24397486	-1.0	-154.29802	-1.354475
57000	-0.32443959565794234	60.0	0.08520673430016754	0.0	1.0	0.21704876	-1.0	-158.25842	-1.367372
58000	-0.34151676229633493	60.0	0.07614085566128125	0.0	1.0	0.22495845	-1.0	-163.17908	-1.3997432
59000	-0.2979970446549672	60.0	0.08364268376636363	0.0	1.0	0.22696349	-1.0	-165.48376	-1.3774011
60000	-0.3278260830637748	60.0	0.028576521033668506	0.0	1.0	0.2531901	-1.0	-165.49434	-1.3100741
61000	-0.3077259569117634	60.0	0.0631811009824551	0.0	1.0	0.23616457	-1.0	-171.7807	-1.3684261
62000	-0.34008972898275686	60.0	0.10097604098006852	0.0	1.0	0.23172411	-1.0	-174.59326	-1.3577223
63000	-0.2967668529755392	60.0	0.09029275094484904	0.0	1.0	0.25958693	-1.0	-180.11792	-1.3986279
64000	-0.33956626349353575	60.0	0.03719822244198946	0.0	1.0	0.22577214	-1.0	-180.82883	-1.3488603
