Training steps	Validation return	Validation steps	Validation return std	Validation steps std	Q-value evaluation	Q-network loss	Policy-network loss	Alpha loss	Log Pi
16000	-0.2902482811038514	60.0	0.09779962407370488	0.0	0.3440057933330536	0.6046042	-0.9377806	-0.97887796	-1.2659053
17000	-0.2544062760816316	60.0	0.038758743190708725	0.0	0.18580090999603271	0.21949333	-0.7247098	-1.9914834	-1.3205634
18000	-0.2726996309551069	60.0	0.05186806600572475	0.0	0.11166463047266006	0.085095905	-0.5680078	-3.0565464	-1.3971343
19000	-0.26558299387804946	60.0	0.10305571631988866	0.0	0.04041406139731407	0.030589875	-0.4076865	-4.0233707	-1.353593
20000	-0.27969968084104	60.0	0.04195565657170942	0.0	0.0040185824036598206	0.028510228	-0.3013445	-5.024225	-1.350389
21000	-0.32966311092150474	60.0	0.108902627712401	0.0	0.0	0.045509107	-0.22001144	-5.995349	-1.3311234
22000	-0.3246489966435676	60.0	0.11553947796342824	0.0	0.0	0.08401824	-0.16456896	-7.0210905	-1.3438773
23000	-0.34689026062652184	60.0	0.08448146700068085	0.0	0.0	0.10177125	-0.12510578	-8.107801	-1.3788707
24000	-0.33004385236735023	60.0	0.10463100948838225	0.0	0.0	0.12788412	-0.09133664	-9.068254	-1.359024
25000	-0.3035592778511337	60.0	0.0929441908125555	0.0	0.0	0.105972745	-0.06769602	-10.077399	-1.3595779
26000	-0.37086333756051093	60.0	0.0411016245394662	0.0	0.0	0.1535828	-0.051151767	-11.17515	-1.3867781
27000	-0.3903898786083772	60.0	0.1323538964694225	0.0	0.0	0.16273746	-0.03594042	-11.93331	-1.3151965
28000	-0.26777831505810756	60.0	0.04929911348831262	0.0	0.0	0.19732486	-0.027164327	-13.030551	-1.3416425
29000	-0.3758459934734061	60.0	0.09442562519761317	0.0	0.0	0.21715857	-0.020563075	-14.156024	-1.3709273
30000	-0.3528688488487865	60.0	0.09052432156778867	0.0	0.0	0.2389259	-0.014697453	-14.951607	-1.3228798
31000	-0.3047075783728151	60.0	0.041443324510880196	0.0	0.0	0.1935793	-0.010738636	-15.8602295	-1.3045714
32000	-0.32159631269753225	60.0	0.09095993542140969	0.0	0.0	0.2403018	-0.008159575	-17.021477	-1.33794
33000	-0.37781551770731486	60.0	0.11030867208636401	0.0	0.0	0.22131407	-0.006310324	-18.340086	-1.3967013
34000	-0.316306119004162	60.0	0.06671287291429968	0.0	0.0	0.22725005	-0.0043703006	-18.839508	-1.305593
