Training steps	Validation return	Validation steps	Validation return std	Validation steps std	Q-value evaluation	Q-network loss	Policy-network loss	Alpha loss	Alpha
11000	-0.2013075363379881	60.0	0.05535933392316502	0.0	3.5577123165130615	0.24021922	-4.560573	-1.0043366	[0.7406339]
12000	-0.23353029454507035	60.0	0.08764109341835684	0.0	5.9646711349487305	0.060879298	-6.67674	-2.0452821	[0.54862833]
13000	-0.13285553868521396	60.0	0.04000290373891378	0.0	7.487689971923828	0.043930504	-7.994671	-3.0594356	[0.4064465]
14000	-0.21358961695209083	60.0	0.08633706706837627	0.0	8.05993366241455	1.0858345	-8.386381	-4.0528617	[0.3011378]
15000	-0.1383573635444359	60.0	0.05925072613513421	0.0	8.13746452331543	0.09321199	-8.3587	-5.0067415	[0.22320841]
16000	-0.17415443118537122	60.0	0.11218572753870269	0.0	7.5235748291015625	1.2748241	-7.7639976	-5.8608212	[0.16560683]
17000	-0.25841246991760614	60.0	0.04834403477131515	0.0	7.295505046844482	0.09898271	-7.6266747	-6.849758	[0.12310061]
18000	-0.2058237644202136	60.0	0.06537371815058593	0.0	6.205789089202881	0.07782857	-6.5618486	-7.5311594	[0.09168975]
19000	-0.23357209738744183	60.0	0.09891584231993428	0.0	5.337375640869141	0.07287672	-5.447063	-7.844729	[0.06843392]
20000	-0.19151299927166118	60.0	0.1162283459879811	0.0	4.289352893829346	0.5627109	-4.509949	-9.372562	[0.0510699]
21000	-0.20441346851997083	60.0	0.09038676496742634	0.0	3.322664976119995	0.07110695	-3.646697	-9.320572	[0.03816226]
22000	-0.21238314703889696	51.6	0.12785509722239435	16.799999999999997	2.301866292953491	0.072165444	-2.5357847	-10.213133	[0.02856807]
23000	-0.17411756924709737	51.6	0.08424951217059251	16.799999999999997	1.3715981245040894	0.06329939	-1.194623	-10.408698	[0.02138604]
24000	-0.23359082403166784	60.0	0.08297351998815791	0.0	0.425809383392334	0.058173	-1.0913378	-11.127351	[0.01612606]
25000	-0.20974391381073781	50.4	0.07980184325894668	19.200000000000003	-0.4663794934749603	0.057190247	0.12821682	-9.681417	[0.01224093]
26000	-0.12683570785933823	40.6	0.11293951524107043	23.862941981239448	-1.2586383819580078	0.06657927	1.2881658	-8.25042	[0.00936933]
27000	-0.20552106957327831	60.0	0.03029693979364848	0.0	-2.0596678256988525	0.075066015	1.7061989	-7.7046504	[0.00717332]
28000	-0.1705100086526262	51.4	0.06206784598006119	11.092339699089639	-2.73840069770813	0.5261034	3.1156814	-7.6360497	[0.00558153]
29000	-0.11715067724262455	49.6	0.10604382181966518	20.8	-3.474276065826416	0.11425	3.4503577	-7.952232	[0.00435735]
30000	-0.12854357638820096	50.0	0.08787822742222917	20.0	-4.342555522918701	0.07793018	3.7086115	-5.423388	[0.0035769]
31000	-0.1742423922118957	60.0	0.022256743362166657	0.0	-4.9845194816589355	0.09227945	5.0099545	-2.4255228	[0.00324142]
32000	-0.12375323793399544	49.2	0.12869314685549502	21.599999999999998	-5.714904308319092	0.12139121	5.5748916	2.1311762	[0.00309403]
33000	-0.13490314139357276	52.2	0.03860027753665791	15.6	-6.145090579986572	0.15393233	6.2115917	2.339081	[0.00329983]
34000	-0.16191369447221432	52.4	0.047375751868355104	15.200000000000001	-6.899024963378906	0.08986055	6.1393166	-2.5983777	[0.00347593]
35000	-0.16696485996256982	53.2	0.024265457871971013	13.600000000000001	-7.518653392791748	0.09303683	6.924119	-0.76376826	[0.00339587]
36000	-0.10042349236677084	38.6	0.15198677174064462	23.388886249669948	-7.964852333068848	1.3909793	7.7497153	2.6492617	[0.00358442]
37000	-0.14288953390793294	51.8	0.029382116140336634	11.106754701531855	-8.531794548034668	1.5049667	7.8175554	-0.60282904	[0.00431961]
38000	-0.18436701818102885	52.6	0.05704956023589273	14.8	-8.871224403381348	0.21393238	8.824519	4.9757333	[0.00470927]
39000	-0.15595560618285123	49.4	0.05292823585357905	13.440238093129153	-9.16279125213623	0.12589118	8.150107	-0.7418392	[0.00507064]
40000	-0.1591848981304801	57.4	0.0783498230859781	5.2	-9.697968482971191	0.13153006	9.157686	3.9148986	[0.00516614]
41000	-0.15597450697307097	50.2	0.06691596232791042	15.904716281656833	-10.08625316619873	4.348692	9.085428	0.10326651	[0.00526072]
42000	-0.1956545941241999	60.0	0.05833547602228403	0.0	-10.227380752563477	0.37019542	10.796533	3.1400928	[0.00549847]
43000	-0.14425782812575888	42.6	0.1350195389020954	22.32129028528593	-10.58042049407959	0.2030853	10.400013	-0.738611	[0.00617391]
44000	-0.16874270242995873	53.6	0.02066171373533876	12.8	-11.04157543182373	0.29599404	9.780456	-3.0540264	[0.00623804]
45000	-0.14061154190528544	50.6	0.06962156084136972	18.8	-11.237894058227539	2.616457	9.72098	1.5180511	[0.00605816]
46000	-0.058459614205509644	44.8	0.11275967961803385	21.497906874856444	-11.64028549194336	0.3166588	11.104694	-0.85676956	[0.00634512]
47000	-0.19672674789801706	60.0	0.07225211099600105	0.0	-12.103537559509277	0.49286488	12.012945	-1.2537446	[0.0060988]
48000	-0.15421761208832338	52.8	0.0615547143027366	14.4	-12.412044525146484	0.84321177	11.661778	1.3888367	[0.00681081]
49000	-0.014924033390379805	48.4	0.24748035745888783	23.2	-12.781014442443848	0.58650315	11.686758	-0.5471208	[0.00671611]
50000	-0.1291014164500154	56.0	0.04211675700578557	8.0	-12.97412109375	0.5521194	11.409372	-1.947803	[0.00699401]
51000	-0.04816093831373687	39.4	0.21026955319347873	25.468411807570572	-13.049067497253418	0.30597764	11.65332	-4.235208	[0.0070289]
52000	-0.16956100284083814	60.0	0.04881747787763591	0.0	-13.54735279083252	0.3676026	12.488844	-0.43223146	[0.00655393]
53000	-0.1197479147697649	43.2	0.06331597050585201	17.73583942191629	-13.485795974731445	0.43322277	12.547293	-1.8807881	[0.0070633]
54000	-0.16179378110775905	55.4	0.04175872128826073	9.200000000000001	-13.924964904785156	0.3035315	12.120148	4.9644537	[0.00702762]
55000	-0.11507965443913581	42.2	0.057294053381763986	21.985449733858072	-14.553476333618164	0.5063144	12.750277	-2.9956508	[0.00695467]
56000	-0.19796896580444528	60.0	0.06405050561406375	0.0	-14.460138320922852	1.0146284	13.962534	0.5451324	[0.00739443]
57000	-0.17039454028580814	49.0	0.05445373727533057	13.505554412907307	-14.79040813446045	0.97071695	13.125554	-0.69494414	[0.00810916]
58000	-0.11702570975867563	55.8	0.02366946694629787	8.4	-14.391336441040039	0.8763783	14.357588	2.6802745	[0.0077739]
59000	-0.17006803249983515	53.4	0.03554175643769015	13.200000000000001	-14.775008201599121	0.7310215	13.796017	0.9956683	[0.00886076]
60000	-0.17497231919727033	60.0	0.057361600097872854	0.0	-15.063763618469238	4.1193194	13.91663	0.69924694	[0.00789981]
61000	-0.16924666171610706	60.0	0.07352011055607001	0.0	-15.217668533325195	0.9404336	13.722202	1.4642748	[0.00702991]
