Training steps	Validation return	Validation steps	Validation return std	Validation steps std	Q-value evaluation	Q-network loss	Policy-network loss	Alpha loss	Alpha
16000	-0.15935881433732849	60.0	0.09108287243596505	0.0	4.171213626861572	0.08726445	-5.3650837	-0.3346556	[0.90484464]
17000	-0.25724551120024586	60.0	0.029991991112219736	0.0	8.246757507324219	0.033035237	-9.293825	-0.6677823	[0.81873083]
18000	-0.21655416601255445	60.0	0.11118556410893957	0.0	11.370182991027832	3.3240156	-12.356662	-1.0016193	[0.74082077]
19000	-0.11416429917421286	60.0	0.07927317971009948	0.0	14.303759574890137	0.055568628	-15.250498	-1.3380446	[0.67031765]
20000	-0.21883419589522352	60.0	0.08611760527374411	0.0	16.503087997436523	0.12607235	-17.357826	-1.6804882	[0.6065243]
21000	-0.18387863125657955	60.0	0.08797146324973637	0.0	17.96384048461914	9.27908	-18.744823	-2.0152063	[0.5487965]
22000	-0.29942436394189975	60.0	0.07358067497992322	0.0	19.142038345336914	0.13569316	-19.87394	-2.3495035	[0.49658608]
23000	-0.22683161824662273	60.0	0.04745592276794445	0.0	20.271026611328125	0.041361384	-21.014965	-2.7198012	[0.44933283]
24000	-0.25312686029876474	60.0	0.04535363884953134	0.0	20.717777252197266	0.044205748	-21.325485	-3.0162942	[0.40656787]
25000	-0.18292632045341134	60.0	0.11375316483728604	0.0	20.986799240112305	0.08247737	-21.468727	-3.3079495	[0.367884]
26000	-0.20388624197859126	60.0	0.06197977226680487	0.0	20.916967391967773	0.102510385	-21.495691	-3.6859908	[0.33287328]
27000	-0.252309346249353	60.0	0.07056358771881592	0.0	20.77239990234375	0.07629861	-21.29155	-4.004675	[0.3012027]
28000	-0.1506160878317534	60.0	0.036607191982475015	0.0	20.26796531677246	0.08587079	-20.691673	-4.367997	[0.27253473]
29000	-0.23723074830536453	60.0	0.06847380097083876	0.0	19.714963912963867	0.09583084	-20.035725	-4.709795	[0.24660935]
30000	-0.1399238392525099	60.0	0.04650381282481641	0.0	18.74531364440918	0.12887193	-19.05774	-5.0423865	[0.22314835]
31000	-0.15917591233070444	60.0	0.0484557290284744	0.0	18.138668060302734	0.0779849	-18.590157	-5.357522	[0.20191972]
32000	-0.2205978455845771	60.0	0.07801640991222927	0.0	17.461271286010742	0.16367656	-17.779476	-5.716433	[0.18271703]
33000	-0.1988376916365873	60.0	0.1099780934840253	0.0	16.28126335144043	0.095946096	-16.674818	-6.0115523	[0.16534251]
34000	-0.17540690729027122	60.0	0.11323092163478768	0.0	15.219209671020508	0.14029124	-15.346619	-6.3808293	[0.14962962]
35000	-0.2513091593876153	60.0	0.0989911453065419	0.0	14.378532409667969	0.10446289	-14.636617	-6.604002	[0.13540953]
36000	-0.10021679362872946	55.4	0.049160848097253566	9.200000000000001	13.01634407043457	0.07071964	-13.335069	-7.147316	[0.12255537]
37000	-0.26637976584997275	60.0	0.07825576758957933	0.0	11.971613883972168	0.09496805	-12.177065	-7.289179	[0.11092427]
38000	-0.2015685261397698	60.0	0.03482608937009276	0.0	10.895552635192871	0.08765309	-11.066161	-7.6499777	[0.10040615]
39000	-0.2247595680578688	60.0	0.06458105650167303	0.0	9.874031066894531	0.0865543	-10.191634	-7.931864	[0.09089994]
40000	-0.14110284890166275	48.0	0.14891043271074755	19.390719429665317	8.674532890319824	0.06582233	-8.901112	-8.254869	[0.08230013]
41000	-0.23031171943745737	60.0	0.07390944732602124	0.0	7.599041938781738	0.10850112	-7.9075356	-8.421076	[0.07453988]
42000	-0.14827006697170106	60.0	0.02692941982445935	0.0	6.5399088859558105	0.33418325	-6.9077015	-8.388393	[0.06749605]
43000	-0.12655268605996528	60.0	0.052020791914444926	0.0	5.532019138336182	0.08505693	-5.8040357	-8.911951	[0.06112759]
44000	-0.16886245300805103	60.0	0.06606473127509342	0.0	4.506639003753662	0.056369975	-4.87043	-9.197744	[0.05535441]
45000	-0.19670735595303077	60.0	0.10753119208718413	0.0	3.5563485622406006	0.053950638	-3.8192434	-9.376268	[0.05013604]
46000	-0.21535983473718795	60.0	0.07265356873257184	0.0	2.6380081176757812	0.089400455	-2.788381	-9.334928	[0.04539875]
47000	-0.15229568605118934	60.0	0.029938731297902334	0.0	1.7678381204605103	0.098428205	-2.0520856	-10.185286	[0.04109588]
48000	-0.1796797007456766	60.0	0.09655958049965241	0.0	0.9653257727622986	0.063099235	-1.4385179	-10.240597	[0.03719516]
49000	-0.18039793072085547	60.0	0.10250606865288377	0.0	0.1159658208489418	0.1094698	-0.33743116	-10.383389	[0.03367652]
50000	-0.14121400385786403	60.0	0.05894561433645154	0.0	-0.7525399923324585	0.0710556	0.44252545	-10.603027	[0.03050718]
51000	-0.1338804843032555	49.0	0.17000388497315708	22.0	-1.5672111511230469	0.08219063	1.7249229	-9.932266	[0.02767025]
52000	-0.177639363621024	60.0	0.06496456937521398	0.0	-2.421057939529419	0.082438774	1.9706059	-10.690713	[0.02511674]
53000	-0.20727029025292518	60.0	0.06660130597328798	0.0	-3.134106397628784	0.07739006	2.657812	-10.506556	[0.02283186]
54000	-0.1529085297769806	50.0	0.09280679263949916	20.0	-3.919405460357666	0.10120389	3.4866056	-9.527632	[0.02078172]
55000	-0.16313214693078174	60.0	0.05164834754040173	0.0	-4.658540725708008	0.14048952	3.750235	-10.51306	[0.01890204]
56000	-0.1651529614853454	60.0	0.04628197129110271	0.0	-5.285361289978027	0.1428704	4.396389	-9.526781	[0.0171732]
57000	-0.19449110728454608	60.0	0.06391156697342512	0.0	-6.126392364501953	0.08693367	4.462556	-8.549481	[0.01562744]
58000	-0.15810800889088947	60.0	0.04294084335449113	0.0	-6.622810363769531	0.121665426	5.671363	-7.9253488	[0.01423084]
59000	-0.17817184051823692	60.0	0.038835565847429074	0.0	-7.316074371337891	0.15215299	6.601262	-8.437275	[0.01292948]
