Training steps	Validation return	Validation steps	Validation return std	Validation steps std	Q-value evaluation	Q-network loss	Value-network loss	Policy-network loss	Alpha loss	Log Pi
11000	-0.3135639170504473	60.0	0.09509145516877336	0.0	0.9999998211860657	0.25318792	0.063700125	-1.1832777	-2.5162184	-0.5016211
12000	-0.34812849757590353	60.0	0.0979350582688046	0.0	0.9999988675117493	0.24664778	0.010009041	-1.0688928	-5.044789	-0.51328707
13000	-0.30906145682885866	60.0	0.06726490691069957	0.0	0.9999988675117493	0.23108375	0.0010055213	-1.0236232	-7.4538126	-0.4785164
14000	-0.3202669468088761	60.0	0.07468763284981289	0.0	0.9999988675117493	0.24073479	0.00014352275	-1.0091641	-10.03837	-0.5048079
15000	-0.33266700281574696	60.0	0.12013881598812401	0.0	0.9999986886978149	0.21818489	1.6064234e-05	-1.0030065	-12.27367	-0.45071372
16000	-0.3669838095109872	60.0	0.09223011073577188	0.0	0.9999982714653015	0.22915623	2.2388685e-06	-1.0011618	-14.867506	-0.47444886
17000	-0.06741850165709663	48.2	0.5389393855658269	23.599999999999998	0.9999973177909851	0.24925908	3.4770275e-07	-1.0004554	-17.590141	-0.50993013
18000	-0.2919401509533658	60.0	0.08019095976459627	0.0	0.9999998211860657	0.24320385	4.0405098e-08	-1.0001556	-19.788246	-0.4709563
19000	-0.3383574324478682	60.0	0.10531591459880679	0.0	0.9999998211860657	0.21759233	5.304594e-09	-1.0000539	-22.054222	-0.4481914
20000	-0.3427691929948114	60.0	0.032631158135555165	0.0	0.9999998211860657	0.2438007	8.718777e-10	-1.0000224	-25.22344	-0.52034086
21000	-0.3035483563573025	60.0	0.12728904372268812	0.0	0.999999463558197	0.24345645	1.0059592e-10	-1.0000073	-27.549454	-0.5026945
22000	-0.3746140616063759	60.0	0.07351632426056234	0.0	0.999999463558197	0.2240821	8.758744e-12	-1.0000018	-29.52904	-0.4592175
23000	-0.3769156834141021	60.0	0.11953959103007779	0.0	0.9999992251396179	0.24476159	9.479639e-13	-0.99999976	-32.025803	-0.46200457
24000	-0.308390465257503	60.0	0.06166517700871674	0.0	0.9104681015014648	0.14885391	0.024992904	-0.8209383	-34.764008	-0.48176533
25000	-0.2786245278704948	60.0	0.05906070991272403	0.0	0.4681204855442047	1.1760709	0.0013660023	0.06330069	-36.890392	-0.4581477
26000	-0.2539536458204324	60.0	0.04211349516817743	0.0	-0.9999149441719055	0.18856078	1.2593462e-10	0.999936	-39.347115	-0.45802587
27000	-0.3241535045144179	60.0	0.10153256540557606	0.0	-0.9999687075614929	0.18003696	2.674918e-09	0.9999764	-43.06082	-0.5318391
28000	-0.2511609930210098	60.0	0.028928248789013653	0.0	-0.9999847412109375	0.21271218	4.0599026e-09	0.9999885	-43.834587	-0.43425745
29000	-0.32256436255128473	60.0	0.12000888007557028	0.0	-0.9999915957450867	0.20791924	4.7558366e-09	0.99999374	-47.339676	-0.4906398
30000	-0.2950604358290814	60.0	0.050038518178368296	0.0	-0.9999954104423523	0.21400103	5.1244378e-09	0.9999964	-49.902924	-0.49421978
31000	-0.2795383174566838	60.0	0.05912349398305385	0.0	-0.9999973177909851	0.19463706	5.3225904e-09	0.9999979	-51.47097	-0.45014638
32000	-0.29672815176711737	60.0	0.026572296218896552	0.0	-0.9999982118606567	0.20453897	5.4186877e-09	0.99999875	-55.192932	-0.5079669
33000	-0.3598861788225899	60.0	0.12074552402487888	0.0	-0.9999992251396179	0.2354783	5.4450453e-09	0.9999993	-56.703182	-0.46464452
34000	-0.3534119253340548	60.0	0.04090391270620676	0.0	-0.999999463558197	0.21817255	5.409916e-09	0.9999996	-60.22309	-0.5085896
35000	-0.30498312132526556	60.0	0.08217956889262464	0.0	-0.9999998211860657	0.21622679	5.3052105e-09	0.9999997	-61.38083	-0.45454562
36000	-0.34108876329467713	60.0	0.10280089798400421	0.0	-0.9999999403953552	0.2044451	5.1244378e-09	0.9999998	-67.79822	-0.6069783
37000	-0.3312784326431006	60.0	0.08717997240175578	0.0	-0.9999999403953552	0.19543143	4.8466973e-09	0.9999999	-66.13885	-0.44900545
38000	-0.4427644609139788	60.0	0.10666197422668787	0.0	-0.9999999403953552	0.1957713	4.4326818e-09	0.99999994	-69.61909	-0.48583448
39000	-0.35003293667760804	60.0	0.1252031826946158	0.0	-0.9999999403953552	0.20970154	3.887081e-09	0.99999994	-71.331894	-0.45922285
40000	-0.3926825000019028	60.0	0.07533527548418233	0.0	-1.0	0.20668747	3.2333816e-09	1.0	-76.75545	-0.55802006
41000	-0.31716002526925874	60.0	0.0871826648401083	0.0	-1.0	0.23116839	2.5247324e-09	1.0	-76.67447	-0.47288284
42000	-0.2618594050470026	60.0	0.057527484210413475	0.0	-1.0	0.18880191	1.8519728e-09	1.0	-81.074455	-0.53310037
