Training steps	Validation return	Validation steps	Validation return std	Validation steps std	Q-value evaluation	Q-network loss	Policy-network loss	Alpha loss	Alpha
11000	-0.3167690075881387	60.0	0.059977596677567996	0.0	3.835192918777466	0.14422682	-5.1433964	-0.3384424	[0.9047996]
12000	-0.32743884227913067	60.0	0.08535311426818147	0.0	7.651162147521973	0.05814102	-8.663374	-0.6768234	[0.8186788]
13000	-0.2668719573858645	60.0	0.05435050450922299	0.0	10.620067596435547	0.049792103	-11.5542755	-1.0112395	[0.74079484]
14000	-0.265163827849775	60.0	0.037757491358861105	0.0	12.967268943786621	0.020903306	-13.998739	-1.3630369	[0.6702912]
15000	-0.34726692260304004	60.0	0.12925411638459242	0.0	14.977042198181152	0.027584098	-15.9724655	-1.6851981	[0.6064954]
16000	-0.3269452378792502	60.0	0.0954383016135329	0.0	16.395748138427734	0.04759626	-17.456017	-2.0181592	[0.54878694]
17000	-0.3073383719067062	60.0	0.03132485013482729	0.0	17.385055541992188	0.032383017	-17.792103	-2.349802	[0.49656066]
18000	-0.331211634285194	60.0	0.0836524896944017	0.0	18.05559539794922	0.036072485	-19.06867	-2.683562	[0.44930983]
19000	-0.33511957864044756	60.0	0.08537532128695419	0.0	18.318756103515625	0.039131433	-19.658007	-3.0334938	[0.4065575]
20000	-0.30911579948822193	60.0	0.09408284599437439	0.0	18.397579193115234	0.030191047	-19.568323	-3.3725777	[0.36786625]
21000	-0.2898428264176463	60.0	0.06506711003775904	0.0	18.17353630065918	0.016637359	-18.553577	-3.7475722	[0.33286268]
22000	-0.27770083645369537	60.0	0.03731559347042966	0.0	17.630407333374023	0.022667663	-18.460384	-4.059849	[0.30118567]
23000	-0.2978366183592533	60.0	0.07435957822023759	0.0	17.033292770385742	0.015230894	-17.62018	-4.366705	[0.27252594]
24000	-0.31337675126578135	60.0	0.09315091622652324	0.0	16.277935028076172	0.013916158	-17.587685	-4.7251596	[0.24659143]
25000	-0.33455787393453307	60.0	0.08432868502127383	0.0	15.382258415222168	0.02230402	-15.515381	-5.0800266	[0.2231241]
26000	-0.2983317225028924	60.0	0.11065737463535333	0.0	14.242639541625977	0.022984218	-15.286652	-5.436267	[0.20189443]
27000	-0.28401453852577374	60.0	0.036956904466181176	0.0	13.165781021118164	0.01754794	-14.866141	-5.68064	[0.18267861]
28000	-0.30655590995354276	60.0	0.05823708236652955	0.0	11.93543815612793	0.024836516	-13.180208	-6.0089436	[0.16529612]
29000	-0.2928842400715572	60.0	0.0895294163453833	0.0	10.672383308410645	0.033527408	-12.212017	-6.3659	[0.14956373]
30000	-0.2402965258366649	60.0	0.034367960310822517	0.0	9.427282333374023	0.03407527	-9.8320055	-6.716093	[0.13533151]
31000	-0.25433597021736554	60.0	0.054996858128846665	0.0	8.13612174987793	0.019317757	-8.956318	-7.051444	[0.12245446]
32000	-0.10489332287190996	48.2	0.5607631627288595	23.599999999999994	6.871075630187988	0.04886401	-8.090107	-7.403427	[0.11080357]
33000	-0.3846623037073092	60.0	0.12832688522166497	0.0	5.411332607269287	0.030811701	-6.399439	-7.781039	[0.10025901]
