Training steps	Validation return	Validation steps	Validation return std	Validation steps std	Q-value evaluation	Q-network loss	Value-network loss	Policy-network loss	Alpha loss	Alpha
16000	-0.2403411095959606	60.0	0.05603884362885881	0.0	3.072101354598999	0.021700505	0.036953628	-4.043082	-1.0052352	[0.74071956]
17000	-0.22415500451366926	60.0	0.10574039118766455	0.0	5.9075140953063965	0.01740641	0.014961085	-6.5540934	-2.0018272	[0.54873186]
18000	-0.2091013059139676	60.0	0.08737849855776138	0.0	7.525496959686279	0.02532966	0.00991881	-7.997853	-3.0404217	[0.4065368]
19000	-0.19302581782677733	60.0	0.09957923481648467	0.0	8.21365737915039	0.019052014	0.008091127	-8.516518	-4.0054283	[0.30115807]
20000	-0.1992490566272102	60.0	0.045177859369028336	0.0	8.279556274414062	0.029954242	0.011453531	-8.518794	-5.0453987	[0.22310968]
21000	-0.16804844595933038	60.0	0.05190317460963543	0.0	7.974393367767334	0.039033607	0.01286941	-8.0488825	-6.088606	[0.16530079]
22000	-0.18139971113935258	60.0	0.061959567650788444	0.0	7.164676189422607	0.03055096	0.032147016	-7.2520556	-7.1823416	[0.12250923]
23000	-0.149709270078873	59.0	0.1153776142821843	2.0	6.351800918579102	0.7088436	0.027189828	-6.3359356	-8.097164	[0.09084881]
24000	-0.1873660726605521	60.0	0.07433783788687724	0.0	5.473543643951416	0.037931748	0.028170042	-5.4681063	-8.886009	[0.06742458]
25000	-0.1962976970009309	60.0	0.11377124868741124	0.0	4.388331413269043	0.023516739	0.009728823	-4.110918	-9.572294	[0.05013308]
26000	-0.17843059563794594	53.2	0.08180536358631427	13.600000000000001	3.3113555908203125	0.022206668	0.0077547487	-3.3079643	-9.986069	[0.03732208]
27000	-0.23351278760944433	60.0	0.10918810066420317	0.0	2.277428150177002	0.030257441	0.0048330193	-2.2101374	-11.022672	[0.02790111]
28000	-0.20309192258750416	60.0	0.052376858423205164	0.0	1.2265846729278564	0.03147823	0.006789794	-1.0305054	-11.401017	[0.020867]
29000	-0.17440691620664797	60.0	0.0883948944806456	0.0	0.24853220582008362	0.031022409	0.008288178	-0.13977933	-11.6479225	[0.01567288]
30000	-0.13735725785831152	60.0	0.04524553470509496	0.0	-0.6248401999473572	0.051149905	0.0061618015	1.1187062	-12.23494	[0.01177916]
31000	-0.19720003167493433	60.0	0.04068998510210062	0.0	-1.507381558418274	0.03503765	0.008342436	1.9319037	-10.981821	[0.00900881]
32000	-0.21434933139403967	55.8	0.032286180075481924	8.4	-2.2758607864379883	0.024193628	0.008446216	2.254456	-9.617987	[0.00706611]
33000	-0.18015272686008504	55.0	0.06849525178009812	10.0	-3.033529758453369	0.03756104	0.027438786	3.4654174	-5.035077	[0.00572553]
34000	-0.12010317774873902	42.4	0.10874351031268477	21.886982432487127	-3.726433515548706	0.02682285	0.014921208	3.8678455	-4.930237	[0.00460821]
