Training steps	Validation return	Validation steps	Validation return std	Validation steps std	Q-value evaluation	Q-network loss	Policy-network loss	Alpha loss	Alpha
16000	-0.26677884722930845	60.0	0.009065032542126835	0.0	570369344.0	291375000000000.0	-655890200.0	-2.565024	[0.7367994]
17000	-0.2653575399850552	60.0	0.008050359155734672	0.0	13122427904.0	2.341628e+17	-15049080000.0	-4.601423	[0.5557912]
18000	-0.2673733213053354	60.0	0.008442020587607605	0.0	123024072704.0	1.540469e+19	-138206090000.0	-6.8977714	[0.4146374]
19000	-0.2718333304539063	60.0	0.0076387869948804565	0.0	490221076480.0	3.4350897e+20	-576020940000.0	-9.223705	[0.3081681]
20000	-0.2701538020400186	60.0	0.008625686478885492	0.0	1051392475136.0	3.857908e+23	-1546801800000.0	-11.565818	[0.2285659]
21000	-0.26658505485713085	60.0	0.0056270288115866	0.0	1051420983296.0	6.1056625e+24	-2847339700000.0	-13.913753	[0.16939981]
22000	-0.2730708591122882	60.0	0.006170236140721348	0.0	1051427078144.0	3.0933792e+25	-5145872000000.0	-16.263927	[0.12551345]
23000	-0.2686832915530837	60.0	0.010391211877636777	0.0	1051431600128.0	1.0676911e+26	-8720962600000.0	-18.614748	[0.09298909]
24000	-0.27122297713751264	60.0	0.00788448821579511	0.0	1051435663360.0	2.9692289e+26	-14178224000000.0	-20.965567	[0.0688928]
25000	-0.26995298300654547	60.0	0.011871816737628466	0.0	1051439792128.0	7.482789e+26	-21630902000000.0	-23.316385	[0.05104059]
26000	-0.27527526996837004	60.0	0.008358184553622208	0.0	1051442479104.0	1.5783654e+27	-31928920000000.0	-25.667204	[0.03781442]
27000	-0.2708775204272438	60.0	0.009710081588174097	0.0	1051442479104.0	3.4671774e+27	-45635395000000.0	-28.018023	[0.02801556]
28000	-0.2684873088194042	60.0	0.009174853188651615	0.0	1051442479104.0	6.698247e+27	-63050540000000.0	-30.368843	[0.02075588]
29000	-0.26849042824495195	60.0	0.006645819254618251	0.0	1051442479104.0	1.2450472e+28	-85720370000000.0	-32.71966	[0.01537739]
