Training steps	Validation return	Validation steps	Validation return std	Validation steps std	Q-value evaluation	Q-network loss	Policy-network loss	Alpha loss	Alpha
16000	-0.27753274467346467	200.0	0.11498059630475121	0.0	7.058879375457764	0.14873464	-8.757824	-0.4971161	[0.90466]
17000	-0.3632730323341256	200.0	0.0667206569767765	0.0	12.950515747070312	0.15438145	-14.619995	-1.0027874	[0.819537]
18000	-0.45366138622043	200.0	0.10308441294535339	0.0	18.190786361694336	0.16120647	-19.611431	-1.4093807	[0.74209535]
19000	-0.46842779566326664	200.0	0.1058115517947066	0.0	22.883018493652344	0.091765635	-24.150434	-1.8795373	[0.6731492]
20000	-0.4034726955101869	200.0	0.14016428066559233	0.0	27.004812240600586	0.12041478	-28.124855	-2.2373285	[0.6104845]
21000	-0.3837551727582068	155.0	0.23585536350913422	62.17394952872143	30.1023006439209	0.09551197	-31.848492	-2.5614166	[0.552775]
22000	-0.4264742625136881	200.0	0.1562728641315322	0.0	32.5250358581543	0.07439399	-33.511803	-3.1800156	[0.50031674]
23000	-0.4278188745300266	200.0	0.16721524588230302	0.0	33.24529266357422	0.71925664	-33.638794	-3.9791987	[0.45117852]
24000	-0.33656921324634637	200.0	0.13198735663243613	0.0	33.43659591674805	0.0496867	-35.057602	-4.298581	[0.40771168]
25000	-0.5388311958941221	200.0	0.15285499205676206	0.0	33.334869384765625	0.03684868	-35.115875	-4.957373	[0.36885428]
26000	-0.33849639769226963	181.4	0.18513340038425866	37.199999999999996	33.468658447265625	0.044911698	-34.689857	-5.0670257	[0.33483383]
27000	-0.2790752574032408	200.0	0.07249842578439397	0.0	33.55617141723633	0.04669038	-35.326454	-4.9114943	[0.3040726]
28000	-0.4066418771812986	200.0	0.11724977106320082	0.0	34.95771408081055	0.088711314	-36.692722	-4.706068	[0.27781788]
29000	-0.4485850240860446	200.0	0.19750033318542892	0.0	35.64321517944336	0.047642577	-36.778	-5.122978	[0.25182718]
30000	-0.4385563521573103	200.0	0.11502788356240345	0.0	35.05208969116211	0.02742	-36.150673	-6.837302	[0.2266488]
31000	-0.24817505333342274	200.0	0.06184827163707875	0.0	33.494564056396484	0.01053246	-33.882122	-7.7178516	[0.20361285]
32000	-0.3132644673964421	180.2	0.1251881615894902	39.6	31.71531105041504	0.025228415	-32.191	-7.8090253	[0.18379891]
33000	-0.2744185841425274	177.0	0.07179307287970287	46.0	30.409854888916016	0.09490709	-30.436974	-7.1431904	[0.16703454]
34000	-0.5090074808398775	197.2	0.17597785240193348	5.6000000000000005	29.375919342041016	0.028554127	-30.582794	-7.8263693	[0.15186968]
35000	-0.4547696726460398	200.0	0.13768546301023246	0.0	27.824079513549805	0.025683649	-28.387901	-8.490629	[0.13748194]
36000	-0.4152710548586939	199.6	0.2012527481674655	0.8	26.11398696899414	0.036857072	-26.59572	-8.902203	[0.1243798]
37000	-0.28513748523250204	169.0	0.13360392974382487	62.0	24.279367446899414	0.021213261	-24.545338	-9.229481	[0.11249876]
38000	-0.39803165794476847	200.0	0.10278384438709172	0.0	22.24773597717285	0.040288	-22.353481	-10.059151	[0.10170337]
39000	-0.43123021616130475	200.0	0.1976711368127115	0.0	20.34571647644043	0.027198598	-21.824804	-10.113016	[0.09229322]
